German  Dutch English
﻿GROßARTIG	TOF	GREAT
HERRLICH	HEERLIJK	DELIGHTFUL
NETT	AANGENAAM	LIKEABLE
WUNDERBAR	WONDERLIJK	WONDERFUL
AUSGEZEICHNET	SUPER	SUPERB
VORTEILHAFT	FIJN	FAVORABLE
EXZELLENT	EXCELLENT	EXCELLENT
SAGENHAFT	MOOI	FABULOUS
PRÄCHTIG	SCHITTEREND	MAGNIFICENT
WUNDERVOLL	VERRUKKELIJK	MARVELOUS
﻿BELEIDIGEND	HINDERLIJK	OFFENSIVE
MINDERWERTIG	MINDERWAARDIG	INFERIOR
SCHRECKLICH	AFSCHUWELIJK	AWFUL
ABSTOßEND	WEERZINWEKKEND	REPULSIVE
VERFAULT	ROT	ROTTEN
EKLIG	AFSTOTEND	DISGUSTING
ENTSETZLICH	VRESELIJK	APPALLING
FURCHTBAR	VERSCHRIKKELIJK	DREADFUL
BÖSE	WALGELIJK	NASTY
GRAUENHAFT	AFGRIJSELIJK	TERRIBLE
