ParticipantNumber	Location	prime	BobImage	bobName	behavior	Valence	responseNumber	correctBehav	TrialRT	Block	ValenceBlock	Valence	computerName	timeStamp	
3	Ghent	Spin	white5.bmp	Bob	bedreigde iemand met een geweer die zijn domein binnenwandelde	neg	u	Correct	4.509215	1	1	neg	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Dood	white5.bmp	Bob	gooide een stoel door een raam op een bierfeestje	neg	u	Correct	3.838272	1	1	neg	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Spin	white5.bmp	Bob	negeerde iemand die hulp nodig had op de ski-piste door heel snel voorbij te skiën	neg	u	Correct	5.375030	1	1	neg	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Pijn	white5.bmp	Bob	spendeerde zijn vrije dag door zijn zijn moeder te helpen met karweitjes in huis	pos	c	Correct	3.426976	1	1	pos	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Stank	white5.bmp	Bob	ontvreemde benzine uit een geparkeerde wagen	neg	u	Correct	1.979637	1	1	neg	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Afval	white5.bmp	Bob	hielp een kind van de buren om een prent te tekenen	pos	c	Correct	2.787743	1	1	pos	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Stank	white5.bmp	Bob	is een fervent lezer die vrijwillig helpt bij het leren lezen in een school	pos	c	Correct	2.049531	1	1	pos	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Lijk	white5.bmp	Bob	sloeg zijn kind omdat het melk had gemorst	neg	u	Correct	2.247001	1	1	neg	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Letsel	white5.bmp	Bob	ondernam een lange reis om zijn ouders te bezoeken	pos	c	Correct	2.260609	1	1	pos	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Hel	white5.bmp	Bob	was vrijwilliger bij een dagverblijf	pos	c	Correct	1.522203	1	1	pos	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Stank	white5.bmp	Bob	maakte een verre vliegreis om zijn vriend te bezoeken die zich slecht voelde	pos	c	Correct	2.770192	1	1	pos	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Oorlog	white5.bmp	Bob	overtuigde zijn baas om een medewerker te ontslaan omdat die te laat op het werk aankwam	neg	u	Correct	3.229257	1	1	neg	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Lijk	white5.bmp	Bob	schreef brieven en stuurde leesmaterialen op naar veroordeelden in de gevangenis	pos	c	Correct	5.523163	1	1	pos	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Afval	white5.bmp	Bob	bekommerde zich om de huisdieren van de buren toen die weg waren	pos	c	Correct	2.868504	1	1	pos	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Letsel	white5.bmp	Bob	werd gearresteerd voor het verkopen van heroïne aan een tiener	neg	u	Correct	3.775592	1	1	neg	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Lijk	white5.bmp	Bob	hielp zijn vrouw een groententuin aan te planten in de achtertuin	pos	c	Correct	1.648378	1	1	pos	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Lelijk	white5.bmp	Bob	stal een duur paar loopschoenen uit andermans kastje	neg	u	Correct	2.421779	1	1	neg	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Spin	white5.bmp	Bob	ging zijn buurman bezoeken in het ziekenhuis	pos	c	Correct	1.782046	1	1	pos	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Oorlog	white5.bmp	Bob	stal de handtas van een ouder dametje op de bus	neg	u	Correct	2.294134	1	1	neg	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Stank	white5.bmp	Bob	hielp een vriend om te leren zwemmen	pos	c	Correct	1.993081	1	1	pos	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Stank	white5.bmp	Bob	werd aangehouden voor het aanranden van zijn vrouw	neg	u	Correct	2.019891	1	1	neg	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Pijn	white5.bmp	Bob	kocht een ballon op de kermis voor een kind van de buren	pos	c	Correct	1.812054	1	1	pos	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Stank	white5.bmp	Bob	was getuige van een auto ongeval maar deed geen melding	neg	u	Correct	2.940170	1	1	neg	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Pijn	white5.bmp	Bob	leverde iemand anders schoolproject in onder zijn eigen naam	neg	c	False	5.447267	1	1	neg	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Lijk	white5.bmp	Bob	doneerde bloed aan het rode kruis	pos	c	Correct	1.651255	1	1	pos	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Oorlog	white5.bmp	Bob	bouwde een boekenkast voor zijn nieuw appartement	pos	c	Correct	1.816610	1	1	pos	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Dood	white5.bmp	Bob	hielp bij het leggen van een nieuw dak op het huis van zijn buren	pos	c	Correct	2.656682	1	1	pos	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Afval	white5.bmp	Bob	belde naar werk en vertelde dat hij ziek was hoewel dit niet het geval was	neg	u	Correct	3.651735	1	1	neg	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Pijn	white5.bmp	Bob	leest geregeld voor aan een blinde vriend	pos	c	Correct	2.585812	1	1	pos	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Afval	white5.bmp	Bob	vertelde de eigenaar van een kleine winkel dat ze hem te veel geld had teruggegeven	pos	c	Correct	4.287451	1	1	pos	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Afval	white5.bmp	Bob	schrijft zijn ouders minstens één keer per twee weken	pos	c	Correct	1.989765	1	1	pos	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Hel	white5.bmp	Bob	rapporteerde aan de ski-autoriteiten toen een vriend niet op tijd was teruggekeerd van een ski tocht	pos	c	Correct	3.973926	1	1	pos	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Afval	white5.bmp	Bob	liet mensen te veel betalen voor benzine in een tankstation	neg	u	Correct	2.142740	1	1	neg	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Letsel	white5.bmp	Bob	speelde heel luid muziek op zijn muziekinstallatie erg laat op de avond	neg	u	Correct	2.780281	1	1	neg	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Dood	white5.bmp	Bob	adopteerde kleine kinderen en voedde ze op alsof ze zijn eigen kinderen waren	pos	c	Correct	2.698030	1	1	pos	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Afval	white5.bmp	Bob	reed een hond aan op straat en reed door zonder de eigenaar te verwittigen	neg	u	Correct	2.375722	1	1	neg	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Spin	white5.bmp	Bob	heeft een hond overreden toen hij aan het racen was in de bebouwde kom	neg	u	Correct	4.304018	1	1	neg	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Stank	white5.bmp	Bob	werkt 40 uur per week om ervoor te kunnen zorgen dat hij zijn opleiding kan afmaken	pos	c	Correct	3.902320	1	1	pos	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Hel	white5.bmp	Bob	riep tegen een serveerster omdat ze te traag was	neg	c	False	0.055047	1	1	neg	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Afval	white5.bmp	Bob	handelde onder een valse naam en liet mensen al op voorhand betalen voor werk dat hij nooit van plan was uit te voeren	neg	u	Correct	3.718627	1	1	neg	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Hel	white5.bmp	Bob	bij een gesprek kleineert hij iedereen die het niet  met hem eens is	neg	u	Correct	2.476693	1	1	neg	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Stank	white5.bmp	Bob	vermeed andere mensen zodat ze geen griep van hem konden overkrijgen	pos	c	Correct	3.690320	1	1	pos	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Letsel	white5.bmp	Bob	hielp een jong kind het alfabet te leren	pos	c	Correct	3.880380	1	1	pos	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Dood	white5.bmp	Bob	vergeet niet om de vogels elke dag eten te geven	pos	c	Correct	2.731845	1	1	pos	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Letsel	white5.bmp	Bob	spendeert veel tijd met vrijwillig bijles geven aan studenten die niet goed zijn in wiskunde en Engels	pos	c	Correct	3.777586	1	1	pos	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Oorlog	white5.bmp	Bob	bood een oudere dame hulp aan om haar ramen te beveiligen tegen hevige wind	pos	c	Correct	2.887634	1	1	pos	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Dood	white5.bmp	Bob	maakte een motorijder belachelijk die in panne was gevallen tijdens een regenbui	neg	u	Correct	2.378802	1	1	neg	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Stank	white5.bmp	Bob	negeerde een ongeval waarbij er iemand uit een auto gekatapulteerd werd en de dader gewoon doorreed	neg	u	Correct	4.011085	1	1	neg	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Dood	white5.bmp	Bob	hielp een verdwaald kind zijn weg naar huis terug te vinden	pos	c	Correct	1.851929	1	1	pos	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Dood	white5.bmp	Bob	stal geld en juwelen van familieleden waar hij mee samenleefde	neg	u	Correct	1.292014	1	1	neg	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Oorlog	white5.bmp	Bob	hielp een vriend bij het herschilderen van zijn appartement	pos	c	Correct	1.435933	1	1	pos	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Spin	white5.bmp	Bob	redde een kind van een aansnellende auto	pos	c	Correct	1.478625	1	1	pos	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Lijk	white5.bmp	Bob	nam marijuana mee over de landsgrens om het te verkopen aan middelbare school studenten	neg	u	Correct	2.158559	1	1	neg	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Lelijk	white5.bmp	Bob	rookte met opzet hoewel hij in een "niet roken" gedeelde van een toneelzaal was	neg	u	Correct	5.678744	1	1	neg	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Stank	white5.bmp	Bob	schoot een hert neer buiten het jachtseizoen	neg	u	Correct	2.170875	1	1	neg	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Spin	white5.bmp	Bob	doofde zijn sigaret in een openbaar gebouw na het zien van een niet roken bord	pos	u	False	1.501746	1	1	pos	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Spin	white5.bmp	Bob	leende geld aan een vriend in financiële moeilijkheden	pos	c	Correct	2.213721	1	1	pos	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Lijk	white5.bmp	Bob	koos om minder vettig te eten en verloor 9 kilo.	pos	c	Correct	1.931310	1	1	pos	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Lelijk	white5.bmp	Bob	werd een vrijwillige basketbal coach voor een tehuis voor kinderen	pos	c	Correct	2.395412	1	1	pos	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Lijk	white5.bmp	Bob	maakte een vrouw erop attent dat ze haar portefeuille had laten vallen 	pos	c	Correct	2.537072	1	1	pos	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Oorlog	white5.bmp	Bob	hielp mee met een activiteiten programma voor gehandicapte kinderen	pos	c	Correct	4.769357	1	1	pos	user-1f3225316f	2019-02-26_13.04.12.859000
3	Ghent	Lelijk	white5.bmp	Bob	probeert andere mensen een lift te geven wanneer hij een lange afstand moet rijden	pos	c	Correct	2.461143	1	1	pos	user-1f3225316f	2019-02-26_13.04.12.859000
