ParticipantNumber	Location	prime	BobImage	bobName	behavior	Valence	responseNumber	correctBehav	TrialRT	Block	ValenceBlock	Valence	computerName	timeStamp
522	Williams	Smile	white3.bmp	Bob	siphoned gas from a car parked on the street	neg	u	False	9.528514	1	2	neg	jdc2-GNF8T52	2022-03-15_16.00.34.562000
522	Williams	Friend	white3.bmp	Bob	scared some small children who were riding their bikes by threatening to run over them	neg	u	False	5.091479	1	2	neg	jdc2-GNF8T52	2022-03-15_16.00.34.562000
522	Williams	Friend	white3.bmp	Bob	let an older person get in front of him in a grocery checkout line	pos	u	Correct	5.009700	1	2	pos	jdc2-GNF8T52	2022-03-15_16.00.34.562000
522	Williams	Party	white3.bmp	Bob	let small children play in his orchard because there was no park nearby	pos	u	Correct	2.978380	1	2	pos	jdc2-GNF8T52	2022-03-15_16.00.34.562000
522	Williams	Smile	white3.bmp	Bob	laughed when a child fell out of a tree	neg	c	Correct	2.177920	1	2	neg	jdc2-GNF8T52	2022-03-15_16.00.34.562000
522	Williams	Smile	white3.bmp	Bob	stole money and jewelry from relatives he was living with	neg	c	Correct	3.881852	1	2	neg	jdc2-GNF8T52	2022-03-15_16.00.34.562000
522	Williams	Kitten	white3.bmp	Bob	played his record player loudly late at night	neg	c	Correct	3.419434	1	2	neg	jdc2-GNF8T52	2022-03-15_16.00.34.562000
522	Williams	Pretty	white3.bmp	Bob	always says good morning with a big grin on his face	pos	u	Correct	1.776481	1	2	pos	jdc2-GNF8T52	2022-03-15_16.00.34.562000
522	Williams	Party	white3.bmp	Bob	threatened some people with a gun for trespassing on his land	neg	c	Correct	3.459833	1	2	neg	jdc2-GNF8T52	2022-03-15_16.00.34.562000
522	Williams	Pretty	white3.bmp	Bob	told a young child who was playing in the dirt that he was stupid and “too young to know any better”	neg	c	Correct	3.482140	1	2	neg	jdc2-GNF8T52	2022-03-15_16.00.34.562000
522	Williams	Kitten	white3.bmp	Bob	sold a pick-up with a cracked engine to an unsuspecting couple for $400	neg	c	Correct	5.751962	1	2	neg	jdc2-GNF8T52	2022-03-15_16.00.34.562000
522	Williams	Flower	white3.bmp	Bob	bought an old guitar and fixed it up for his cousin	pos	u	Correct	2.399665	1	2	pos	jdc2-GNF8T52	2022-03-15_16.00.34.562000
522	Williams	Gift	white3.bmp	Bob	helped a friend repaint his apartment	pos	u	Correct	1.303915	1	2	pos	jdc2-GNF8T52	2022-03-15_16.00.34.562000
522	Williams	Pretty	white3.bmp	Bob	ran over a dog while speeding through a residential neighborhood	neg	c	Correct	1.477616	1	2	neg	jdc2-GNF8T52	2022-03-15_16.00.34.562000
522	Williams	Puppy	white3.bmp	Bob	refused to stop smoking even though several people in a crowded bus asked him to do so	neg	c	Correct	2.191870	1	2	neg	jdc2-GNF8T52	2022-03-15_16.00.34.562000
522	Williams	Smile	white3.bmp	Bob	cheated on a take-home exam from the university	neg	c	Correct	1.505051	1	2	neg	jdc2-GNF8T52	2022-03-15_16.00.34.562000
522	Williams	Kiss	white3.bmp	Bob	bought a friend a potted plant on Valentine’s Day	pos	u	Correct	3.015391	1	2	pos	jdc2-GNF8T52	2022-03-15_16.00.34.562000
522	Williams	Kitten	white3.bmp	Bob	stopped off on his way home from work to buy a loaf of bread for dinner	pos	u	Correct	2.287876	1	2	pos	jdc2-GNF8T52	2022-03-15_16.00.34.562000
522	Williams	Pretty	white3.bmp	Bob	helped put a new roof on his neighbor’s house	pos	u	Correct	1.730015	1	2	pos	jdc2-GNF8T52	2022-03-15_16.00.34.562000
522	Williams	Pretty	white3.bmp	Bob	yelled at his wife viciously after an argument about family income	neg	c	Correct	2.277061	1	2	neg	jdc2-GNF8T52	2022-03-15_16.00.34.562000
522	Williams	Pretty	white3.bmp	Bob	offered to share an umbrella with a stranger during a downpour	pos	u	Correct	1.754762	1	2	pos	jdc2-GNF8T52	2022-03-15_16.00.34.562000
522	Williams	Puppy	white3.bmp	Bob	donated 200 dollars to the local high school	pos	u	Correct	1.090269	1	2	pos	jdc2-GNF8T52	2022-03-15_16.00.34.562000
522	Williams	Gift	white3.bmp	Bob	knocked a grocery bag from a woman’s arms as he ran down the street	neg	c	Correct	1.940278	1	2	neg	jdc2-GNF8T52	2022-03-15_16.00.34.562000
522	Williams	Kiss	white3.bmp	Bob	shot a deer outside of hunting season	neg	c	Correct	2.647353	1	2	neg	jdc2-GNF8T52	2022-03-15_16.00.34.562000
522	Williams	Smile	white3.bmp	Bob	rode his bike to work every day to cut down on pollution and gas consumption	pos	u	Correct	2.384789	1	2	pos	jdc2-GNF8T52	2022-03-15_16.00.34.562000
522	Williams	Flower	white3.bmp	Bob	defaced a large rock with spray paint in a public park	neg	c	Correct	3.708826	1	2	neg	jdc2-GNF8T52	2022-03-15_16.00.34.562000
522	Williams	Kiss	white3.bmp	Bob	saves cans and bottles for recycling	pos	u	Correct	1.418551	1	2	pos	jdc2-GNF8T52	2022-03-15_16.00.34.562000
522	Williams	Gift	white3.bmp	Bob	gave his seat on the bus to an older person	pos	u	Correct	1.335560	1	2	pos	jdc2-GNF8T52	2022-03-15_16.00.34.562000
522	Williams	Happy	white3.bmp	Bob	planted tomatoes and cucumbers in a small garden behind his house	pos	u	Correct	2.846839	1	2	pos	jdc2-GNF8T52	2022-03-15_16.00.34.562000
522	Williams	Gift	white3.bmp	Bob	refused to sign a petition to improve playground facilities for school children	neg	c	Correct	3.396154	1	2	neg	jdc2-GNF8T52	2022-03-15_16.00.34.562000
522	Williams	Smile	white3.bmp	Bob	drove to Colorado to visit his parents	pos	u	Correct	3.108368	1	2	pos	jdc2-GNF8T52	2022-03-15_16.00.34.562000
522	Williams	Happy	white3.bmp	Bob	often spends time at an old folks home helping out	pos	u	Correct	1.655222	1	2	pos	jdc2-GNF8T52	2022-03-15_16.00.34.562000
522	Williams	Kiss	white3.bmp	Bob	ran into a parked car while driving under the influence of liquor	neg	c	Correct	2.476255	1	2	neg	jdc2-GNF8T52	2022-03-15_16.00.34.562000
522	Williams	Kiss	white3.bmp	Bob	told the proprietor of a small store that she had given him too much change	pos	u	Correct	4.098122	1	2	pos	jdc2-GNF8T52	2022-03-15_16.00.34.562000
522	Williams	Gift	white3.bmp	Bob	stopped to assist a motorist whose car had stalled during a snow storm	pos	u	Correct	2.544476	1	2	pos	jdc2-GNF8T52	2022-03-15_16.00.34.562000
522	Williams	Flower	white3.bmp	Bob	helped a food bank deliver turkeys to need families on Thanksgiving	pos	u	Correct	3.703706	1	2	pos	jdc2-GNF8T52	2022-03-15_16.00.34.562000
522	Williams	Flower	white3.bmp	Bob	bought plane tickets for his parents on their 25th anniversary for a trip to Hawaii	pos	u	Correct	1.682260	1	2	pos	jdc2-GNF8T52	2022-03-15_16.00.34.562000
522	Williams	Party	white3.bmp	Bob	threw a chair through a window at a beer party	neg	c	Correct	1.743469	1	2	neg	jdc2-GNF8T52	2022-03-15_16.00.34.562000
522	Williams	Kitten	white3.bmp	Bob	administered first aid to a hit-and-run victim while waiting for an ambulance to arrive	pos	u	Correct	3.815599	1	2	pos	jdc2-GNF8T52	2022-03-15_16.00.34.562000
522	Williams	Friend	white3.bmp	Bob	yelled at a waitress for being too slow	neg	c	Correct	3.592183	1	2	neg	jdc2-GNF8T52	2022-03-15_16.00.34.562000
522	Williams	Happy	white3.bmp	Bob	helped his wife plant a large vegetable garden in the backyard	pos	u	Correct	1.768153	1	2	pos	jdc2-GNF8T52	2022-03-15_16.00.34.562000
522	Williams	Gift	white3.bmp	Bob	helped old people clean up their yards and paint their houses for free	pos	u	Correct	2.407915	1	2	pos	jdc2-GNF8T52	2022-03-15_16.00.34.562000
522	Williams	Flower	white3.bmp	Bob	helped friends move into a new house	pos	u	Correct	1.380426	1	2	pos	jdc2-GNF8T52	2022-03-15_16.00.34.562000
522	Williams	Friend	white3.bmp	Bob	bought groceries for an elderly lady next door who was ill	pos	u	Correct	2.059254	1	2	pos	jdc2-GNF8T52	2022-03-15_16.00.34.562000
522	Williams	Party	white3.bmp	Bob	stole a book from the college book store	neg	c	Correct	1.417570	1	2	neg	jdc2-GNF8T52	2022-03-15_16.00.34.562000
522	Williams	Party	white3.bmp	Bob	insisted that he had tickets for a seat at a basketball game, knowing that the seat was really not his	neg	c	Correct	3.738721	1	2	neg	jdc2-GNF8T52	2022-03-15_16.00.34.562000
522	Williams	Party	white3.bmp	Bob	cooks a nice dinner for his friends	pos	u	Correct	1.205790	1	2	pos	jdc2-GNF8T52	2022-03-15_16.00.34.562000
522	Williams	Party	white3.bmp	Bob	sent flowers to his mother on Mother’s Day	pos	u	Correct	1.890426	1	2	pos	jdc2-GNF8T52	2022-03-15_16.00.34.562000
