ParticipantNumber	Location	prime	BobImage	bobName	behavior	Valence	responseNumber	correctBehav	TrialRT	Block	ValenceBlock	Valence	computerName	timeStamp	
606	Illinois	Gift	white2.bmp	Bob	belittles the minority individuals he knows	neg	c	Correct	11.920039	1	2	neg	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	Kiss	white2.bmp	Bob	stole a parking place by driving into it from behind while someone else was backing into it	neg	u	False	13.908487	1	2	neg	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	Pretty	white2.bmp	Bob	let small children play in his orchard because there was no park nearby	pos	c	False	2.879249	1	2	pos	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	Puppy	white2.bmp	Bob	had someone else take a math final for him	neg	c	Correct	4.204522	1	2	neg	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	Kitten	white2.bmp	Bob	let an old couple ride free on the bus he was driving because they didn’t have enough money for two fares	pos	u	Correct	4.839988	1	2	pos	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	Gift	white2.bmp	Bob	helped a friend review for a test	pos	u	Correct	4.547511	1	2	pos	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	Party	white2.bmp	Bob	told a young child who was playing in the dirt that he was stupid and “too young to know any better”	neg	u	False	2.511011	1	2	neg	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	Party	white2.bmp	Bob	used food coupons that were earmarked for someone else	neg	c	Correct	2.764196	1	2	neg	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	Pretty	white2.bmp	Bob	helped old people clean up their yards and paint their houses for free	pos	u	Correct	2.355469	1	2	pos	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	Flower	white2.bmp	Bob	refused to sign a petition to improve playground facilities for school children	neg	c	Correct	2.680654	1	2	neg	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	Smile	white2.bmp	Bob	failed to report to the police that a neighbor beat his wife	neg	c	Correct	2.495887	1	2	neg	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	Smile	white2.bmp	Bob	adopted small children and raised them as if they were his own	pos	u	Correct	1.691138	1	2	pos	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	Happy	white2.bmp	Bob	defaced a large rock with spray paint in a public park	neg	c	Correct	2.938213	1	2	neg	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	Gift	white2.bmp	Bob	had a surprise party for his father's birthday	pos	u	Correct	1.433506	1	2	pos	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	Flower	white2.bmp	Bob	cut into the front of a gas line	neg	c	Correct	6.942543	1	2	neg	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	Party	white2.bmp	Bob	ran over a child's bike with his car	neg	c	Correct	5.014363	1	2	neg	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	Smile	white2.bmp	Bob	told the proprietor of a small store that she had given him too much change	pos	u	Correct	5.041875	1	2	pos	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	Happy	white2.bmp	Bob	buys all of his friends a drink at the bar	pos	u	Correct	1.501464	1	2	pos	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	Flower	white2.bmp	Bob	robbed a 7-11 store	neg	c	Correct	1.302526	1	2	neg	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	Kitten	white2.bmp	Bob	rushed to the aid of someone who fell off their bicycle	pos	u	Correct	1.867618	1	2	pos	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	Friend	white2.bmp	Bob	evicted renters who were one month late in paying their rent	neg	c	Correct	1.900755	1	2	neg	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	Puppy	white2.bmp	Bob	took baby birds that he found in a nest that had fallen from a tree and nursed them to adulthood	pos	u	Correct	2.859861	1	2	pos	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	Puppy	white2.bmp	Bob	volunteered to work at the day care center	pos	u	Correct	1.523117	1	2	pos	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	Puppy	white2.bmp	Bob	bought an old guitar and fixed it up for his cousin	pos	u	Correct	3.972199	1	2	pos	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	Puppy	white2.bmp	Bob	told a lie about his friend	neg	c	Correct	1.493581	1	2	neg	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	Smile	white2.bmp	Bob	was detained for assaulting his wife	neg	c	Correct	3.236633	1	2	neg	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	Puppy	white2.bmp	Bob	helped some neighboring campers set up their tent	pos	u	Correct	1.949942	1	2	pos	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	Flower	white2.bmp	Bob	often spends time at an old folks home helping out	pos	u	Correct	1.985128	1	2	pos	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	Pretty	white2.bmp	Bob	helped in an activity program for handicapped children	pos	u	Correct	4.508194	1	2	pos	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	Happy	white2.bmp	Bob	helped his wife plant a large vegetable garden in the backyard	pos	u	Correct	1.679743	1	2	pos	PP05C272	2005-02-27_22.52.46.875000
606	Illinois	Kitten	white2.bmp	Bob	flunked out of college after one term	neg	c	Correct	6.884777	1	2	neg	PP05C272	2005-02-27_22.52.46.875000
