ParticipantNumber	Location	prime	BobImage	bobName	behavior	Valence	responseNumber	correctBehav	TrialRT	Block	ValenceBlock	Valence	computerName	timeStamp	
561	Williams	Death	white2.bmp	Bob	reported to the ski patrol that a friend hadn’t returned on time from a cross-country ski tour.	pos	c	Correct	6.302054	1	1	pos	jdc2-GNF8T52	2022-04-29_11.58.42.529000
561	Williams	Trash	white2.bmp	Bob	told the proprietor of a small store that she had given him too much change	pos	c	Correct	3.675123	1	1	pos	jdc2-GNF8T52	2022-04-29_11.58.42.529000
561	Williams	Ugly	white2.bmp	Bob	built a bookcase for his new apartment	pos	c	Correct	1.530270	1	1	pos	jdc2-GNF8T52	2022-04-29_11.58.42.529000
561	Williams	Hell	white2.bmp	Bob	helped a friend move into an apartment	pos	c	Correct	1.082414	1	1	pos	jdc2-GNF8T52	2022-04-29_11.58.42.529000
561	Williams	Pain	white2.bmp	Bob	refused to stop smoking even though several people in a crowded bus asked him to do so	neg	u	Correct	5.263354	1	1	neg	jdc2-GNF8T52	2022-04-29_11.58.42.529000
561	Williams	Hurt	white2.bmp	Bob	regularly reads to a blind friend	pos	c	Correct	3.545700	1	1	pos	jdc2-GNF8T52	2022-04-29_11.58.42.529000
561	Williams	Death	white2.bmp	Bob	bought an old guitar and fixed it up for his cousin	pos	c	Correct	1.404162	1	1	pos	jdc2-GNF8T52	2022-04-29_11.58.42.529000
561	Williams	Ugly	white2.bmp	Bob	donates his time at the soup kitchen	pos	c	Correct	1.621735	1	1	pos	jdc2-GNF8T52	2022-04-29_11.58.42.529000
561	Williams	Spider	white2.bmp	Bob	pretended he did not hear a woman’s request for his help in lifting a baby carriage over a high curb	neg	u	Correct	3.022254	1	1	neg	jdc2-GNF8T52	2022-04-29_11.58.42.529000
561	Williams	Hurt	white2.bmp	Bob	parked his car in a space that was marked for a disabled person	neg	u	Correct	2.515177	1	1	neg	jdc2-GNF8T52	2022-04-29_11.58.42.529000
561	Williams	Trash	white2.bmp	Bob	fought against discriminatory law that made renting difficult for minorities	pos	c	Correct	3.050169	1	1	pos	jdc2-GNF8T52	2022-04-29_11.58.42.529000
561	Williams	War	white2.bmp	Bob	does not forget to feed the birds every morning	pos	c	Correct	2.842256	1	1	pos	jdc2-GNF8T52	2022-04-29_11.58.42.529000
561	Williams	Hell	white2.bmp	Bob	paid a man to follow his wife around	neg	u	Correct	1.751316	1	1	neg	jdc2-GNF8T52	2022-04-29_11.58.42.529000
561	Williams	Spider	white2.bmp	Bob	cheated on a take-home exam from the university	neg	u	Correct	1.898156	1	1	neg	jdc2-GNF8T52	2022-04-29_11.58.42.529000
561	Williams	Hurt	white2.bmp	Bob	stopped to assist a motorist whose car had stalled during a snow storm	pos	c	Correct	3.628449	1	1	pos	jdc2-GNF8T52	2022-04-29_11.58.42.529000
561	Williams	Death	white2.bmp	Bob	slapped his child for spilling a glass of milk	neg	u	Correct	2.358731	1	1	neg	jdc2-GNF8T52	2022-04-29_11.58.42.529000
561	Williams	Ugly	white2.bmp	Bob	cooks a nice dinner for his friends	pos	c	Correct	1.430556	1	1	pos	jdc2-GNF8T52	2022-04-29_11.58.42.529000
561	Williams	Spider	white2.bmp	Bob	yelled at a waitress for being too slow	neg	u	Correct	1.352366	1	1	neg	jdc2-GNF8T52	2022-04-29_11.58.42.529000
561	Williams	Hurt	white2.bmp	Bob	gives the best gifts on Christmas	pos	c	Correct	1.346772	1	1	pos	jdc2-GNF8T52	2022-04-29_11.58.42.529000
561	Williams	Hell	white2.bmp	Bob	donated 200 dollars to the local high school	pos	c	Correct	1.556975	1	1	pos	jdc2-GNF8T52	2022-04-29_11.58.42.529000
561	Williams	Pain	white2.bmp	Bob	failed to report to the police that a neighbor beat his wife	neg	u	Correct	3.911336	1	1	neg	jdc2-GNF8T52	2022-04-29_11.58.42.529000
561	Williams	Stink	white2.bmp	Bob	helped his wife plant a large vegetable garden in the backyard	pos	c	Correct	2.289339	1	1	pos	jdc2-GNF8T52	2022-04-29_11.58.42.529000
561	Williams	Stink	white2.bmp	Bob	scared a woman who was walking down a dark street alone	neg	u	Correct	2.673453	1	1	neg	jdc2-GNF8T52	2022-04-29_11.58.42.529000
561	Williams	War	white2.bmp	Bob	was fined $500 for littering at a National Park	neg	u	Correct	2.702672	1	1	neg	jdc2-GNF8T52	2022-04-29_11.58.42.529000
561	Williams	Trash	white2.bmp	Bob	stopped off on his way home from work to buy a loaf of bread for dinner	pos	c	Correct	3.227554	1	1	pos	jdc2-GNF8T52	2022-04-29_11.58.42.529000
561	Williams	Hurt	white2.bmp	Bob	borrowed some records from an acquaintance and never returned them	neg	u	Correct	3.216194	1	1	neg	jdc2-GNF8T52	2022-04-29_11.58.42.529000
561	Williams	Hurt	white2.bmp	Bob	repaired a child's bicycle over the weekend	pos	c	Correct	1.624948	1	1	pos	jdc2-GNF8T52	2022-04-29_11.58.42.529000
561	Williams	Pain	white2.bmp	Bob	often spends time at an old folks home helping out	pos	c	Correct	1.850213	1	1	pos	jdc2-GNF8T52	2022-04-29_11.58.42.529000
561	Williams	Stink	white2.bmp	Bob	helped a foreign student locate a place to live	pos	c	Correct	1.672024	1	1	pos	jdc2-GNF8T52	2022-04-29_11.58.42.529000
561	Williams	Spider	white2.bmp	Bob	helped a friend repaint his apartment	pos	c	Correct	1.358521	1	1	pos	jdc2-GNF8T52	2022-04-29_11.58.42.529000
561	Williams	Death	white2.bmp	Bob	brought marijuana across the state line to sell to middle school students	neg	u	Correct	2.099870	1	1	neg	jdc2-GNF8T52	2022-04-29_11.58.42.529000
561	Williams	Corpse	white2.bmp	Bob	played his transistor radio full blast late at night in a campground	neg	u	Correct	2.707507	1	1	neg	jdc2-GNF8T52	2022-04-29_11.58.42.529000
561	Williams	Corpse	white2.bmp	Bob	threw a chair through a window at a beer party	neg	u	Correct	1.701900	1	1	neg	jdc2-GNF8T52	2022-04-29_11.58.42.529000
561	Williams	Pain	white2.bmp	Bob	wrote letters and sent reading materials to convicts at the Oregon Penitentiary	pos	c	Correct	2.074845	1	1	pos	jdc2-GNF8T52	2022-04-29_11.58.42.529000
561	Williams	Trash	white2.bmp	Bob	belittles the minority individuals he knows	neg	u	Correct	2.719806	1	1	neg	jdc2-GNF8T52	2022-04-29_11.58.42.529000
561	Williams	Ugly	white2.bmp	Bob	taught a neighbor child how to ride a bike	pos	c	Correct	1.980917	1	1	pos	jdc2-GNF8T52	2022-04-29_11.58.42.529000
561	Williams	War	white2.bmp	Bob	had someone else take a math final for him	neg	u	Correct	2.137869	1	1	neg	jdc2-GNF8T52	2022-04-29_11.58.42.529000
561	Williams	Hell	white2.bmp	Bob	loudly made racist statements to his friends while in a tavern	neg	u	Correct	2.075106	1	1	neg	jdc2-GNF8T52	2022-04-29_11.58.42.529000
561	Williams	Hurt	white2.bmp	Bob	turned in someone else’s class project under his own name	neg	u	Correct	2.107812	1	1	neg	jdc2-GNF8T52	2022-04-29_11.58.42.529000
561	Williams	War	white2.bmp	Bob	bought plane tickets for his parents on their 25th anniversary for a trip to Hawaii	pos	c	Correct	2.312631	1	1	pos	jdc2-GNF8T52	2022-04-29_11.58.42.529000
561	Williams	Pain	white2.bmp	Bob	flunked out of college after one term	neg	u	Correct	1.357530	1	1	neg	jdc2-GNF8T52	2022-04-29_11.58.42.529000
561	Williams	Pain	white2.bmp	Bob	buys all of his friends a drink at the bar	pos	c	Correct	1.490397	1	1	pos	jdc2-GNF8T52	2022-04-29_11.58.42.529000
561	Williams	Stink	white2.bmp	Bob	helped some neighboring campers set up their tent	pos	c	Correct	1.418331	1	1	pos	jdc2-GNF8T52	2022-04-29_11.58.42.529000
561	Williams	Spider	white2.bmp	Bob	writes his parents at least once every two weeks	pos	c	Correct	1.929231	1	1	pos	jdc2-GNF8T52	2022-04-29_11.58.42.529000
561	Williams	Corpse	white2.bmp	Bob	sold a pick-up with a cracked engine to an unsuspecting couple for $400	neg	u	Correct	6.102765	1	1	neg	jdc2-GNF8T52	2022-04-29_11.58.42.529000
561	Williams	Corpse	white2.bmp	Bob	helped a friend review for a test	pos	c	Correct	1.272085	1	1	pos	jdc2-GNF8T52	2022-04-29_11.58.42.529000
561	Williams	Death	white2.bmp	Bob	found a good watch in a park and pawned it	neg	u	Correct	3.781716	1	1	neg	jdc2-GNF8T52	2022-04-29_11.58.42.529000
561	Williams	Pain	white2.bmp	Bob	ran over a dog while speeding through a residential neighborhood	neg	u	Correct	1.850513	1	1	neg	jdc2-GNF8T52	2022-04-29_11.58.42.529000
561	Williams	Spider	white2.bmp	Bob	saved a child from an oncoming car	pos	c	Correct	1.842054	1	1	pos	jdc2-GNF8T52	2022-04-29_11.58.42.529000
561	Williams	Hurt	white2.bmp	Bob	robbed a 7-11 store	neg	u	Correct	1.631050	1	1	neg	jdc2-GNF8T52	2022-04-29_11.58.42.529000
