ParticipantNumber	Location	prime	BobImage	bobName	behavior	Valence	responseNumber	correctBehav	TrialRT	Block	ValenceBlock	Valence	computerName	timeStamp	
152	Florida	Hell	white4.bmp	Bob	offered to share an umbrella with a stranger during a downpour	pos	c	Correct	6.997206	1	1	pos	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Pain	white4.bmp	Bob	convinced his boss to fire an employee for arriving late for work	neg	u	Correct	2.828184	1	1	neg	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Death	white4.bmp	Bob	didn’t show up as a material witness for a drug case that involved a friend	neg	c	False	11.001864	1	1	neg	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Stink	white4.bmp	Bob	yelled at his wife viciously after an argument about family income	neg	u	Correct	2.272650	1	1	neg	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Ugly	white4.bmp	Bob	drove to Colorado to visit his parents	pos	c	Correct	2.216210	1	1	pos	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Ugly	white4.bmp	Bob	operated under a false company name and had people pay in advance for a job he never planned to do	neg	u	Correct	3.258863	1	1	neg	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Death	white4.bmp	Bob	insulted a man who asked for directions to the nearest post office	neg	u	Correct	2.380828	1	1	neg	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Death	white4.bmp	Bob	told a young child who was playing in the dirt that he was stupid and “too young to know any better”	neg	u	Correct	2.523391	1	1	neg	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Hell	white4.bmp	Bob	refused to lend a friend a book he needed for a paper	neg	u	Correct	1.452284	1	1	neg	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Hell	white4.bmp	Bob	pulled off the highway to assist a driver whose car had stalled	pos	c	Correct	2.078838	1	1	pos	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Spider	white4.bmp	Bob	pretended he did not hear a woman’s request for his help in lifting a baby carriage over a high curb	neg	u	Correct	2.310918	1	1	neg	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Spider	white4.bmp	Bob	helped an unemployed neighbor find a new job	pos	c	Correct	2.335290	1	1	pos	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Stink	white4.bmp	Bob	became very angry and threatened two children who were collecting insects near his home	neg	u	Correct	3.004889	1	1	neg	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Stink	white4.bmp	Bob	derided his girlfriend at a party	neg	u	Correct	3.082590	1	1	neg	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Hurt	white4.bmp	Bob	refused to help his child fix his bike	neg	u	Correct	1.264235	1	1	neg	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Stink	white4.bmp	Bob	built a bookcase for his new apartment	pos	c	Correct	1.285737	1	1	pos	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Corpse	white4.bmp	Bob	turned in someone else’s class project under his own name	neg	u	Correct	1.890903	1	1	neg	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Corpse	white4.bmp	Bob	taught a neighbor child how to ride a bike	pos	c	Correct	2.008232	1	1	pos	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Ugly	white4.bmp	Bob	ignored a hit-and-run accident in which a person was thrown from a car	neg	u	Correct	7.835284	1	1	neg	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Hell	white4.bmp	Bob	scared some small children who were riding their bikes by threatening to run over them	neg	u	Correct	8.263915	1	1	neg	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	War	white4.bmp	Bob	repaired a child's bicycle over the weekend	pos	c	Correct	1.023562	1	1	pos	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	War	white4.bmp	Bob	stopped off on his way home from work to buy a loaf of bread for dinner	pos	c	Correct	3.791284	1	1	pos	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Hell	white4.bmp	Bob	bought an old guitar and fixed it up for his cousin	pos	c	Correct	2.807883	1	1	pos	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Trash	white4.bmp	Bob	was arrested for selling heroin to a teenager	neg	u	Correct	2.336460	1	1	neg	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Hurt	white4.bmp	Bob	adopted small children and raised them as if they were his own	pos	c	Correct	2.070050	1	1	pos	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Corpse	white4.bmp	Bob	stole a book from the college book store	neg	u	Correct	3.624849	1	1	neg	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	War	white4.bmp	Bob	let small children play in his orchard because there was no park nearby	pos	c	Correct	2.486936	1	1	pos	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Trash	white4.bmp	Bob	helped a food bank deliver turkeys to need families on Thanksgiving	pos	c	Correct	4.781728	1	1	pos	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Hurt	white4.bmp	Bob	left his campfire burning at night, causing a small forest fire	neg	u	Correct	2.594968	1	1	neg	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Trash	white4.bmp	Bob	broke his friend's guitar because he was angry	neg	u	Correct	1.259314	1	1	neg	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Death	white4.bmp	Bob	sheltered a family who had lost their home in a fire	pos	c	Correct	1.315261	1	1	pos	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Corpse	white4.bmp	Bob	fought against discriminatory law that made renting difficult for minorities	pos	u	False	5.915308	1	1	pos	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	War	white4.bmp	Bob	had someone else write a term paper for him	neg	u	Correct	2.740574	1	1	neg	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Hell	white4.bmp	Bob	knocked a grocery bag from a woman’s arms as he ran down the street	neg	u	Correct	2.247660	1	1	neg	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Trash	white4.bmp	Bob	flunked out of college after one term	neg	u	Correct	2.738337	1	1	neg	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Hurt	white4.bmp	Bob	gave a hitchhiker a ride to a shelter	pos	c	Correct	1.424255	1	1	pos	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Pain	white4.bmp	Bob	regularly reads to a blind friend	pos	c	Correct	3.189588	1	1	pos	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Pain	white4.bmp	Bob	told the proprietor of a small store that she had given him too much change	pos	c	Correct	4.189911	1	1	pos	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Trash	white4.bmp	Bob	called in sick for work when he was well	neg	u	Correct	1.668260	1	1	neg	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Hurt	white4.bmp	Bob	sells vacuum cleaners door-to-door for three times the department store price	neg	u	Correct	3.876377	1	1	neg	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Stink	white4.bmp	Bob	lent a friend his new sleeping bag and tent to go camping	pos	c	Correct	2.336228	1	1	pos	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Trash	white4.bmp	Bob	donated 200 dollars to the local high school	pos	c	Correct	4.341353	1	1	pos	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Corpse	white4.bmp	Bob	deliberately smoked even though he was in the “no smoking” section of the theater	neg	u	Correct	1.595527	1	1	neg	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Corpse	white4.bmp	Bob	helped friends move into a new house	pos	c	Correct	1.036841	1	1	pos	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Pain	white4.bmp	Bob	spent several hours a week counseling delinquents	pos	c	Correct	1.504641	1	1	pos	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Spider	white4.bmp	Bob	gives directions to a driver who is lost	pos	c	Correct	1.110124	1	1	pos	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Trash	white4.bmp	Bob	typed a manuscript for a friend	pos	c	Correct	3.325893	1	1	pos	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Hurt	white4.bmp	Bob	offered to help an elderly lady put up storm windows	pos	c	Correct	1.292127	1	1	pos	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Death	white4.bmp	Bob	let an older person get in front of him in a grocery checkout line	pos	c	Correct	1.091874	1	1	pos	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Stink	white4.bmp	Bob	gives the best gifts on Christmas	pos	c	Correct	1.025060	1	1	pos	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Ugly	white4.bmp	Bob	borrowed some records from an acquaintance and never returned them	neg	u	Correct	1.806158	1	1	neg	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Pain	white4.bmp	Bob	told a lie about his friend	neg	u	Correct	1.080823	1	1	neg	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Pain	white4.bmp	Bob	let an old couple ride free on the bus he was driving because they didn’t have enough money for two fares	pos	c	Correct	3.427136	1	1	pos	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Pain	white4.bmp	Bob	shot a deer outside of hunting season	neg	u	Correct	2.337322	1	1	neg	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	War	white4.bmp	Bob	siphoned gas from a car parked on the street	neg	u	Correct	2.830918	1	1	neg	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Spider	white4.bmp	Bob	lent money to a friend in financial straits	pos	c	Correct	2.658103	1	1	pos	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	Hell	white4.bmp	Bob	helped some neighboring campers set up their tent	pos	c	Correct	1.746437	1	1	pos	PSY-1517	2021-11-01_15.13.53.141000
152	Florida	War	white4.bmp	Bob	witnessed a car accident, but didn’t report it	neg	u	Correct	1.273647	1	1	neg	PSY-1517	2021-11-01_15.13.53.141000
