ParticipantNumber	Location	prime	BobImage	bobName	behavior	Valence	responseNumber	correctBehav	TrialRT	Block	ValenceBlock	Valence	computerName	timeStamp	
43	Florida	Party	bob1.bmp	Bob	spends a great deal of his time voluntarily tutoring disadvantaged students in areas of mathematics and English	pos	u	Correct	8.878129	1	2	pos	PSY-1517	2019-07-30_10.57.42.157000
43	Florida	Smile	bob1.bmp	Bob	got drunk and insulted everybody at a cocktail party	neg	c	Correct	3.505314	1	2	neg	PSY-1517	2019-07-30_10.57.42.157000
43	Florida	Friend	bob1.bmp	Bob	had someone else take a math final for him	neg	c	Correct	2.679418	1	2	neg	PSY-1517	2019-07-30_10.57.42.157000
43	Florida	Pretty	bob1.bmp	Bob	helped an unemployed neighbor find a new job	pos	u	Correct	3.203273	1	2	pos	PSY-1517	2019-07-30_10.57.42.157000
43	Florida	Kiss	bob1.bmp	Bob	drove to Colorado to visit his parents	pos	u	Correct	3.322943	1	2	pos	PSY-1517	2019-07-30_10.57.42.157000
43	Florida	Puppy	bob1.bmp	Bob	shut a neighbor’s door when they accidentally left it open	pos	u	Correct	3.774081	1	2	pos	PSY-1517	2019-07-30_10.57.42.157000
43	Florida	Happy	bob1.bmp	Bob	kicked his dog for eating some cheese left near the edge of the table	neg	c	Correct	3.418515	1	2	neg	PSY-1517	2019-07-30_10.57.42.157000
43	Florida	Kiss	bob1.bmp	Bob	bought groceries for an elderly lady next door who was ill	pos	u	Correct	4.149969	1	2	pos	PSY-1517	2019-07-30_10.57.42.157000
43	Florida	Kitten	bob1.bmp	Bob	wrote letters to his congressperson supporting equal rights for all	pos	u	Correct	3.260814	1	2	pos	PSY-1517	2019-07-30_10.57.42.157000
43	Florida	Gift	bob1.bmp	Bob	was fined $500 for littering at a National Park	neg	c	Correct	3.599107	1	2	neg	PSY-1517	2019-07-30_10.57.42.157000
43	Florida	Pretty	bob1.bmp	Bob	threw a chair through a window at a beer party	neg	c	Correct	3.063871	1	2	neg	PSY-1517	2019-07-30_10.57.42.157000
43	Florida	Party	bob1.bmp	Bob	was detained for assulting his wife	neg	c	Correct	2.392431	1	2	neg	PSY-1517	2019-07-30_10.57.42.157000
43	Florida	Smile	bob1.bmp	Bob	turned in someone else’s class project under his own name	neg	c	Correct	6.443156	1	2	neg	PSY-1517	2019-07-30_10.57.42.157000
43	Florida	Party	bob1.bmp	Bob	adopted small children and raised them as if they were his own	pos	u	Correct	2.546429	1	2	pos	PSY-1517	2019-07-30_10.57.42.157000
43	Florida	Happy	bob1.bmp	Bob	helped a lost child find his way home	pos	u	Correct	3.028677	1	2	pos	PSY-1517	2019-07-30_10.57.42.157000
43	Florida	Happy	bob1.bmp	Bob	saves cans and bottles for recycling	pos	u	Correct	3.205377	1	2	pos	PSY-1517	2019-07-30_10.57.42.157000
43	Florida	Friend	bob1.bmp	Bob	let an old couple ride free on the bus he was driving because they didn’t have enough money for two fares	pos	u	Correct	4.851368	1	2	pos	PSY-1517	2019-07-30_10.57.42.157000
43	Florida	Pretty	bob1.bmp	Bob	became very angry and threatened two children who were collecting insects near his home	neg	c	Correct	4.951187	1	2	neg	PSY-1517	2019-07-30_10.57.42.157000
43	Florida	Friend	bob1.bmp	Bob	ran over a child's bike with his car	neg	c	Correct	3.052576	1	2	neg	PSY-1517	2019-07-30_10.57.42.157000
43	Florida	Puppy	bob1.bmp	Bob	broke in a locker and stole $400 worth of ski equipment	neg	c	Correct	3.973713	1	2	neg	PSY-1517	2019-07-30_10.57.42.157000
43	Florida	Flower	bob1.bmp	Bob	broke his friend's guitar because he was angry	neg	c	Correct	2.420414	1	2	neg	PSY-1517	2019-07-30_10.57.42.157000
43	Florida	Kitten	bob1.bmp	Bob	sent flowers to his mother on Mother’s Day	pos	u	Correct	2.071038	1	2	pos	PSY-1517	2019-07-30_10.57.42.157000
43	Florida	Gift	bob1.bmp	Bob	scared a woman who was walking down a dark street alone	neg	c	Correct	3.279062	1	2	neg	PSY-1517	2019-07-30_10.57.42.157000
43	Florida	Smile	bob1.bmp	Bob	ran into a parked car while driving under the influence of liquor	neg	c	Correct	4.861883	1	2	neg	PSY-1517	2019-07-30_10.57.42.157000
43	Florida	Friend	bob1.bmp	Bob	tricked a housewife into paying money for a subscription to a magazine that did not exist	neg	c	Correct	5.249380	1	2	neg	PSY-1517	2019-07-30_10.57.42.157000
43	Florida	Happy	bob1.bmp	Bob	went to the hospital to visit his neighbor	pos	u	Correct	2.372553	1	2	pos	PSY-1517	2019-07-30_10.57.42.157000
43	Florida	Kiss	bob1.bmp	Bob	spent some of his salary on groceries for a disadvantaged family	pos	u	Correct	4.351724	1	2	pos	PSY-1517	2019-07-30_10.57.42.157000
43	Florida	Flower	bob1.bmp	Bob	helped put a new roof on his neighbor’s house	pos	u	Correct	2.979096	1	2	pos	PSY-1517	2019-07-30_10.57.42.157000
43	Florida	Kiss	bob1.bmp	Bob	gave a hitchiker a ride to a shelter	pos	u	Correct	3.308233	1	2	pos	PSY-1517	2019-07-30_10.57.42.157000
43	Florida	Smile	bob1.bmp	Bob	drove his car down a residential street at 70 mph to impress his girlfriend	neg	c	Correct	4.847386	1	2	neg	PSY-1517	2019-07-30_10.57.42.157000
43	Florida	Kitten	bob1.bmp	Bob	offered to share an umbrella with a stranger during a downpour	pos	u	Correct	4.125596	1	2	pos	PSY-1517	2019-07-30_10.57.42.157000
43	Florida	Gift	bob1.bmp	Bob	had his driver’s license suspended for drunken driving	neg	c	Correct	9.939934	1	2	neg	PSY-1517	2019-07-30_10.57.42.157000
43	Florida	Flower	bob1.bmp	Bob	donates his time at the soup kitchen	pos	u	Correct	2.470474	1	2	pos	PSY-1517	2019-07-30_10.57.42.157000
43	Florida	Puppy	bob1.bmp	Bob	played his transistor radio full blast late at night in a campground	neg	c	Correct	5.919230	1	2	neg	PSY-1517	2019-07-30_10.57.42.157000
