ParticipantNumber	Location	prime	BobImage	bobName	behavior	Valence	responseNumber	correctBehav	TrialRT	Block	ValenceBlock	Valence	computerName	timeStamp	
222	Yale	Smile	bob1.bmp	Bob	helped put a new roof on his neighbor’s house	pos	c	False	4.144761	1	2	pos	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Happy	bob1.bmp	Bob	bought plane tickets for his parents on their 25th anniversary for a trip to Hawaii	pos	u	Correct	3.165942	1	2	pos	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Kiss	bob1.bmp	Bob	took care of the neighbor’s pets while they were gone	pos	u	Correct	2.565524	1	2	pos	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Kiss	bob1.bmp	Bob	stole money and jewelry from relatives he was living with	neg	c	Correct	3.133890	1	2	neg	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Pretty	bob1.bmp	Bob	lent a friend his new sleeping bag and tent to go camping	pos	u	Correct	2.777521	1	2	pos	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Gift	bob1.bmp	Bob	spent two years as a Vista volunteer to work in the slums of Chicago as a medical aide	pos	u	Correct	2.354568	1	2	pos	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Party	bob1.bmp	Bob	convinced his boss to fire an employee for arriving late for work	neg	c	Correct	5.194170	1	2	neg	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Puppy	bob1.bmp	Bob	had someone else take a math final for him	neg	c	Correct	1.733440	1	2	neg	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Party	bob1.bmp	Bob	spent two years working in the slums of Chicago at a strip club	neg	c	Correct	3.700191	1	2	neg	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Kitten	bob1.bmp	Bob	operated under a false company name and had people pay in advance for a job he never planned to do	neg	c	Correct	3.337854	1	2	neg	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Smile	bob1.bmp	Bob	helped a friend learn how to swim	pos	u	Correct	1.973574	1	2	pos	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Flower	bob1.bmp	Bob	bought a neighborhood child a balloon at the fair	pos	u	Correct	1.442872	1	2	pos	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Pretty	bob1.bmp	Bob	stole clothes from the washing machines at the laundromat	neg	c	Correct	1.673547	1	2	neg	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Friend	bob1.bmp	Bob	helped a friend review for a test	pos	u	Correct	1.343202	1	2	pos	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Pretty	bob1.bmp	Bob	borrowed some records from an acquaintance and never returned them	neg	c	Correct	1.753269	1	2	neg	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Friend	bob1.bmp	Bob	writes his parents at least once every two weeks	pos	u	Correct	1.896201	1	2	pos	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Kiss	bob1.bmp	Bob	read section from Alice in Wonderland to his children before they went to bed	pos	u	Correct	2.281777	1	2	pos	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Puppy	bob1.bmp	Bob	was apprehended when trying to steal candy from corner grocery store	neg	c	Correct	3.136259	1	2	neg	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Gift	bob1.bmp	Bob	told a lie about his friend	neg	c	Correct	1.680936	1	2	neg	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Flower	bob1.bmp	Bob	had a surprise party for his father's birthday	pos	u	Correct	1.314146	1	2	pos	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Smile	bob1.bmp	Bob	ignored a hit-and-run accident in which a person was thrown from a car	neg	c	Correct	1.828072	1	2	neg	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Friend	bob1.bmp	Bob	parked his car in a space that was marked for a disabled person	neg	c	Correct	2.105194	1	2	neg	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Pretty	bob1.bmp	Bob	left his campfire burning at night, causing a small forest fire	neg	c	Correct	1.505292	1	2	neg	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Party	bob1.bmp	Bob	cooks a nice dinner for his friends	pos	u	Correct	0.984780	1	2	pos	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Kiss	bob1.bmp	Bob	helped friends move into a new house	pos	u	Correct	1.096795	1	2	pos	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Kitten	bob1.bmp	Bob	gave his friend a bad time by always asking distracting and irrelevant questions	neg	c	Correct	2.747627	1	2	neg	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Pretty	bob1.bmp	Bob	helped his father take care of his younger sisters and brothers while his mother was in the hospital	pos	u	Correct	1.811331	1	2	pos	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Friend	bob1.bmp	Bob	helped some neighboring campers set up their tent	pos	u	Correct	1.511950	1	2	pos	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Puppy	bob1.bmp	Bob	gives the best gifts on Christmas	pos	u	Correct	1.893612	1	2	pos	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Party	bob1.bmp	Bob	typed a manuscript for a friend	pos	u	Correct	1.415759	1	2	pos	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Party	bob1.bmp	Bob	tells those close to him that he loves them	pos	u	Correct	1.175009	1	2	pos	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Flower	bob1.bmp	Bob	sells vacuum cleaners door-to-door for three times the department store price	neg	c	Correct	4.763039	1	2	neg	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Puppy	bob1.bmp	Bob	helped in an activity program for handicapped children	pos	u	Correct	1.542617	1	2	pos	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Kitten	bob1.bmp	Bob	became very angry and threatened two children who were collecting insects near his home	neg	c	Correct	3.550954	1	2	neg	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Happy	bob1.bmp	Bob	stole merchandise from his work	neg	c	Correct	1.126003	1	2	neg	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Gift	bob1.bmp	Bob	helped a young child learn the alphabet	pos	u	Correct	1.427185	1	2	pos	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Kitten	bob1.bmp	Bob	helped his wife do the dishes after a large dinner party	pos	u	Correct	1.165991	1	2	pos	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Smile	bob1.bmp	Bob	spent his day off helping his mother around the house	pos	u	Correct	1.592108	1	2	pos	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Party	bob1.bmp	Bob	fixed a squeaking rocking chair for his friend in the country	pos	u	Correct	2.907542	1	2	pos	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Happy	bob1.bmp	Bob	sent flowers to his mother on Mother’s Day	pos	u	Correct	1.452207	1	2	pos	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Party	bob1.bmp	Bob	set off a fire alarm as a practical joke	neg	c	Correct	1.239799	1	2	neg	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Flower	bob1.bmp	Bob	walked out of a restaurant without paying the bill	neg	c	Correct	1.341990	1	2	neg	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Smile	bob1.bmp	Bob	ignored someone’s cries for help on the ski slope by skiing by too fast to stop	neg	c	Correct	5.164583	1	2	neg	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Friend	bob1.bmp	Bob	helped a food bank deliver turkeys to need families on Thanksgiving	pos	u	Correct	1.656027	1	2	pos	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Party	bob1.bmp	Bob	gives flowers to his mother	pos	u	Correct	0.718398	1	2	pos	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Flower	bob1.bmp	Bob	defaced a large rock with spray paint in a public park	neg	c	Correct	2.753435	1	2	neg	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Smile	bob1.bmp	Bob	overcharged customers who bought gas at a filling station	neg	c	Correct	7.704240	1	2	neg	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Friend	bob1.bmp	Bob	stole a parking place by driving into it from behind while someone else was backing into it	neg	c	Correct	8.015868	1	2	neg	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Pretty	bob1.bmp	Bob	helped a friend repaint his apartment	pos	u	Correct	3.672145	1	2	pos	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Kiss	bob1.bmp	Bob	robbed a 7-11 store	neg	c	Correct	2.316095	1	2	neg	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Gift	bob1.bmp	Bob	got drunk and pushed a seven-year-old girl	neg	c	Correct	1.320539	1	2	neg	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Flower	bob1.bmp	Bob	gave his seat on the bus to an older person	pos	u	Correct	2.043056	1	2	pos	DL324-PC-7	2022-04-27_14.24.10.014000
222	Yale	Party	bob1.bmp	Bob	deliberately smoked even though he was in the “no smoking” section of the theater	neg	c	Correct	1.691548	1	2	neg	DL324-PC-7	2022-04-27_14.24.10.014000
