ParticipantNumber	Location	prime	BobImage	bobName	behavior	Valence	responseNumber	correctBehav	TrialRT	Block	ValenceBlock	Valence	computerName	timeStamp	
430	HongKong	Friend	white4.bmp	Bob	often spends time at an old folks home helping out	pos	u	Correct	6.681212	1	2	pos	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Kitten	white4.bmp	Bob	overcharged customers who bought gas at a filling station	neg	c	Correct	4.367027	1	2	neg	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Happy	white4.bmp	Bob	pulled off the highway to assist a driver whose car had stalled	pos	c	False	6.771203	1	2	pos	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Friend	white4.bmp	Bob	bought a neighborhood child a balloon at the fair	pos	u	Correct	5.199163	1	2	pos	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Party	white4.bmp	Bob	turned in a work assignment on time	pos	c	False	4.517099	1	2	pos	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Kitten	white4.bmp	Bob	built a stained-glass lamp shade for his sister’s wedding present	pos	c	False	4.467147	1	2	pos	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Gift	white4.bmp	Bob	shot a song bird with his .22-caliber rifle	neg	c	Correct	3.531323	1	2	neg	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Flower	white4.bmp	Bob	fixed a squeaking rocking chair for his friend in the country	pos	c	False	7.463408	1	2	pos	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Flower	white4.bmp	Bob	stood on a street corner and insulted the people who walked by	neg	c	Correct	2.641496	1	2	neg	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Flower	white4.bmp	Bob	saved a child from an oncoming car	pos	u	Correct	3.975548	1	2	pos	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Gift	white4.bmp	Bob	makes fun of lesbians on the street	neg	c	Correct	2.857483	1	2	neg	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Puppy	white4.bmp	Bob	stole an expensive pair of running shoes from a gym locker	neg	c	Correct	3.403610	1	2	neg	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Gift	white4.bmp	Bob	bought an old guitar and fixed it up for his cousin	pos	c	False	2.713599	1	2	pos	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Friend	white4.bmp	Bob	tells those close to him that he loves them	pos	u	Correct	2.953657	1	2	pos	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Smile	white4.bmp	Bob	called the SPCA on coming across a hurt animal	pos	u	Correct	3.577645	1	2	pos	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Friend	white4.bmp	Bob	butted into the front of a long line at a movie theater	neg	c	Correct	3.987766	1	2	neg	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Smile	white4.bmp	Bob	donates his time at the soup kitchen	pos	u	Correct	3.979742	1	2	pos	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Party	white4.bmp	Bob	helped his wife do the dishes after a large dinner party	pos	u	Correct	4.269784	1	2	pos	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Gift	white4.bmp	Bob	tricked a housewife into paying money for a subscription to a magazine that did not exist	neg	u	False	3.685936	1	2	neg	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Pretty	white4.bmp	Bob	adopted small children and raised them as if they were his own	pos	u	Correct	3.113806	1	2	pos	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Kitten	white4.bmp	Bob	insisted that he had tickets for a seat at a basketball game, knowing that the seat was really not his	neg	c	Correct	4.506015	1	2	neg	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Gift	white4.bmp	Bob	helped a friend learn how to swim	pos	c	False	3.545862	1	2	pos	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Pretty	white4.bmp	Bob	sells vacuum cleaners door-to-door for three times the department store price	neg	c	Correct	3.794010	1	2	neg	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Kiss	white4.bmp	Bob	hit a dog in the street and drove away without stopping to notify the owner	neg	c	Correct	2.657933	1	2	neg	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Party	white4.bmp	Bob	yelled at his grandma when she wouldn't lend him money	neg	c	Correct	3.100006	1	2	neg	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Kitten	white4.bmp	Bob	dented another car in a parking lot and refused to leave his name	neg	u	False	6.366088	1	2	neg	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Flower	white4.bmp	Bob	scared some small children who were riding their bikes by threatening to run over them	neg	c	Correct	5.058238	1	2	neg	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Friend	white4.bmp	Bob	knocked a grocery bag from a woman’s arms as he ran down the street	neg	c	Correct	2.428189	1	2	neg	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Happy	white4.bmp	Bob	let an old couple ride free on the bus he was driving because they didn’t have enough money for two fares	pos	u	Correct	5.900162	1	2	pos	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Party	white4.bmp	Bob	gave $20 to the United Appeal	pos	u	Correct	2.150250	1	2	pos	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Party	white4.bmp	Bob	lent money to a friend in financial straits	pos	c	False	5.670296	1	2	pos	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Pretty	white4.bmp	Bob	was fined $500 for littering at a National Park	neg	c	Correct	4.510379	1	2	neg	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Gift	white4.bmp	Bob	used food coupons that were earmarked for someone else	neg	c	Correct	3.110305	1	2	neg	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Kitten	white4.bmp	Bob	laughed when a child fell out of a tree	neg	c	Correct	2.590411	1	2	neg	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Smile	white4.bmp	Bob	helped put a new roof on his neighbor’s house	pos	c	False	3.166444	1	2	pos	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Gift	white4.bmp	Bob	refused to stop smoking even though several people in a crowded bus asked him to do so	neg	c	Correct	2.298416	1	2	neg	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Pretty	white4.bmp	Bob	stopped to assist a motorist whose car had stalled during a snow storm	pos	u	Correct	5.852631	1	2	pos	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Happy	white4.bmp	Bob	left a burner on when leaving his house	neg	c	Correct	3.071727	1	2	neg	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Happy	white4.bmp	Bob	threatened some people with a gun for trespassing on his land	neg	u	False	3.544344	1	2	neg	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Kiss	white4.bmp	Bob	drove to Colorado to visit his parents	pos	c	False	2.662174	1	2	pos	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Pretty	white4.bmp	Bob	wrote letters to his congressperson supporting equal rights for all	pos	u	Correct	5.297856	1	2	pos	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Pretty	white4.bmp	Bob	went to the hospital to visit his neighbor	pos	u	Correct	4.908701	1	2	pos	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Flower	white4.bmp	Bob	administered first aid to a hit-and-run victim while waiting for an ambulance to arrive	pos	u	Correct	4.833945	1	2	pos	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Kitten	white4.bmp	Bob	does not forget to feed the birds every morning	pos	u	Correct	4.718440	1	2	pos	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Puppy	white4.bmp	Bob	had someone else write a term paper for him	neg	c	Correct	2.433961	1	2	neg	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Puppy	white4.bmp	Bob	volunteers one day a week to work for the child care center	pos	u	Correct	2.589999	1	2	pos	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Kitten	white4.bmp	Bob	is a reading specialist who volunteered to teach reading in a free school	pos	u	Correct	6.828012	1	2	pos	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Puppy	white4.bmp	Bob	donated a pint of blood to the Red Cross	pos	u	Correct	3.582043	1	2	pos	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Gift	white4.bmp	Bob	fought against discriminatory law that made renting difficult for minorities	pos	c	False	4.834077	1	2	pos	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Kiss	white4.bmp	Bob	sent flowers to his mother on Mother’s Day	pos	u	Correct	2.518242	1	2	pos	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Flower	white4.bmp	Bob	was arrested on the charge of passing over $500 in bad checks	neg	c	Correct	3.720985	1	2	neg	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Puppy	white4.bmp	Bob	brought marijuana across the state line to sell to middle school students	neg	c	Correct	3.444560	1	2	neg	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Smile	white4.bmp	Bob	yelled at a waitress for being too slow	neg	c	Correct	1.554244	1	2	neg	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Smile	white4.bmp	Bob	spent two years as a Vista volunteer to work in the slums of Chicago as a medical aide	pos	u	Correct	3.230227	1	2	pos	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Flower	white4.bmp	Bob	deliberately smoked even though he was in the “no smoking” section of the theater	neg	c	Correct	3.540241	1	2	neg	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Puppy	white4.bmp	Bob	sold a pick-up with a cracked engine to an unsuspecting couple for $400	neg	c	Correct	8.736561	1	2	neg	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Kiss	white4.bmp	Bob	told the proprietor of a small store that she had given him too much change	pos	u	Correct	7.382450	1	2	pos	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Happy	white4.bmp	Bob	belittles the minority individuals he knows	neg	c	Correct	2.308758	1	2	neg	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Happy	white4.bmp	Bob	helped friends move into a new house	pos	u	Correct	1.732802	1	2	pos	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Pretty	white4.bmp	Bob	had his driver’s license suspended for drunken driving	neg	c	Correct	4.886500	1	2	neg	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Puppy	white4.bmp	Bob	gives directions to a driver who is lost	pos	u	Correct	1.986509	1	2	pos	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Party	white4.bmp	Bob	spent his day off helping his mother around the house	pos	u	Correct	1.754651	1	2	pos	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Kiss	white4.bmp	Bob	left his campfire burning at night, causing a small forest fire	neg	c	Correct	6.156584	1	2	neg	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Party	white4.bmp	Bob	got drunk and pushed a seven-year-old girl	neg	c	Correct	3.880710	1	2	neg	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Smile	white4.bmp	Bob	spent some of his salary on groceries for a disadvantaged family	pos	u	Correct	3.789097	1	2	pos	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Smile	white4.bmp	Bob	absentmindedly ran through a red light at an intersection and smashed into the side of another car	neg	c	Correct	4.981403	1	2	neg	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Flower	white4.bmp	Bob	bought groceries for an elderly lady next door who was ill	pos	u	Correct	3.738770	1	2	pos	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Kitten	white4.bmp	Bob	loudly made racist statements to his friends while in a tavern	neg	c	Correct	1.674893	1	2	neg	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Puppy	white4.bmp	Bob	puts down anyone in a conversation who disagrees with him	neg	c	Correct	4.300825	1	2	neg	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Smile	white4.bmp	Bob	operated under a false company name and had people pay in advance for a job he never planned to do	neg	c	Correct	5.468986	1	2	neg	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Happy	white4.bmp	Bob	helped in an activity program for handicapped children	pos	u	Correct	4.691034	1	2	pos	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Happy	white4.bmp	Bob	called in sick for work when he was well	neg	c	Correct	12.659209	1	2	neg	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Party	white4.bmp	Bob	scared a woman who was walking down a dark street alone	neg	c	Correct	2.114981	1	2	neg	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Pretty	white4.bmp	Bob	lent a friend his new sleeping bag and tent to go camping	pos	u	Correct	4.178058	1	2	pos	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Puppy	white4.bmp	Bob	rushed to the aid of someone who fell off their bicycle	pos	u	Correct	3.389733	1	2	pos	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Kiss	white4.bmp	Bob	snatched a purse that an elderly woman set down on the bus	neg	c	Correct	3.827227	1	2	neg	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Party	white4.bmp	Bob	played his record player loudly late at night	neg	c	Correct	2.083406	1	2	neg	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Gift	white4.bmp	Bob	sheltered a family who had lost their home in a fire	pos	u	Correct	1.899026	1	2	pos	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Friend	white4.bmp	Bob	drove his car down a residential street at 70 mph to impress his girlfriend	neg	c	Correct	5.801603	1	2	neg	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
430	HongKong	Kitten	white4.bmp	Bob	offered to help an elderly lady put up storm windows	pos	u	Correct	1.683370	1	2	pos	DESKTOP-MQ3JB2Q	2023-03-24_18.46.09.283000
