ParticipantNumber	Location	prime	BobImage	bobName	behavior	Valence	responseNumber	correctBehav	TrialRT	Block	ValenceBlock	Valence	computerName	timeStamp	
29	Ghent	Bloem	white2.bmp	Bob	parkeerde zijn auto op een plaats voor mindervaliden	neg	u	False	5.497354	1	2	neg	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	Geschenk	white2.bmp	Bob	werd gearresteerd voor het verkopen van heroïne aan een tiener	neg	u	False	3.061383	1	2	neg	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	Vriend	white2.bmp	Bob	hielp een rolstoelpatiënt een helling op te geraken	pos	u	Correct	1.989904	1	2	pos	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	Katje	white2.bmp	Bob	gaf onderdak aan een gezin dat zijn huis had verloren in een brand	pos	u	Correct	4.320700	1	2	pos	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	Blij	white2.bmp	Bob	Nam jonge vogels in huis die uit een nest waren gevallen en verzorgde ze tot ze groot waren	pos	u	Correct	3.313665	1	2	pos	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	Katje	white2.bmp	Bob	﻿diende eerste hulp toe bij een slachtoffer van een ongeval met vluchtmisdrijf tijdens het wachten op een ambulance	pos	u	Correct	3.106263	1	2	pos	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	Glimlach	white2.bmp	Bob	hielp een vriend om te leren zwemmen	pos	u	Correct	1.642812	1	2	pos	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	Feest	white2.bmp	Bob	geeft de beste cadeautjes met kerstmis	pos	u	Correct	2.445479	1	2	pos	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	Feest	white2.bmp	Bob	reed tegen een geparkeerde auto onder invloed van alcohol	neg	c	Correct	2.709789	1	2	neg	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	Puppy	white2.bmp	Bob	sloeg zijn kind omdat het melk had gemorst	neg	c	Correct	3.790207	1	2	neg	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	Kus	white2.bmp	Bob	daagde niet op voor een vooraf vastgelegde tennis match	neg	c	Correct	2.241615	1	2	neg	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	Puppy	white2.bmp	Bob	las voor uit het boek Alice in Wonderland aan zijn kinderen voor ze naar bed gingen	pos	u	Correct	2.737876	1	2	pos	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	Feest	white2.bmp	Bob	blutste andermans auto in de parking en weigerde om zijn naam achter te laten	neg	c	Correct	4.711588	1	2	neg	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	Bloem	white2.bmp	Bob	vertelt de de mensen in zijn naaste omgeving dat hij van hen houdt	pos	u	Correct	2.949978	1	2	pos	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	Feest	white2.bmp	Bob	leende enkele platen van een kennis en gaf ze nooit terug	neg	c	Correct	2.369163	1	2	neg	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	Kus	white2.bmp	Bob	liet iemand anders het eindexamen wiskunde voor hem afleggen	neg	c	Correct	2.825463	1	2	neg	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	Vriend	white2.bmp	Bob	riep tegen een achtjarige jongen omdat hij met zijn fiets op het voetpad reed	neg	c	Correct	2.879213	1	2	neg	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	Kus	white2.bmp	Bob	bood een oudere dame hulp aan om haar ramen te beveiligen tegen hevige wind	pos	u	Correct	1.791644	1	2	pos	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	Mooi	white2.bmp	Bob	kreeg een boete van € 500 voor het vervuilen van een openbaar park	neg	c	Correct	2.165083	1	2	neg	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	Glimlach	white2.bmp	Bob	kleineert personen die hij kent die tot een minderheidsgroep behoren	neg	c	Correct	3.541339	1	2	neg	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	Katje	white2.bmp	Bob	hielp bij het leggen van een nieuw dak op het huis van zijn buren	pos	u	Correct	2.328701	1	2	pos	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	Vriend	white2.bmp	Bob	ontvreemde benzine uit een geparkeerde wagen	neg	c	Correct	3.142229	1	2	neg	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	Blij	white2.bmp	Bob	doneerde € 20 aan een organisatie die sociale diensten levert	pos	u	Correct	1.849473	1	2	pos	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	Bloem	white2.bmp	Bob	riep slechte dingen naar zijn vrouw na een ruzie over geld	neg	c	Correct	2.809619	1	2	neg	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	Glimlach	white2.bmp	Bob	maakte kinderen bang die aan het fietsen waren door te zeggen dat hij hen zou omver rijden	neg	c	Correct	1.887384	1	2	neg	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	Feest	white2.bmp	Bob	keek af tijdens een thuis af te nemen examen van de universiteit	neg	c	Correct	4.727457	1	2	neg	user-1f3225316f	2019-03-14_16.04.21.859000
29	Ghent	Glimlach	white2.bmp	Bob	handelde onder een valse naam en liet mensen al op voorhand betalen voor werk dat hij nooit van plan was uit te voeren	neg	c	Correct	2.624567	1	2	neg	user-1f3225316f	2019-03-14_16.04.21.859000
