ParticipantNumber	Location	prime	BobImage	bobName	behavior	Valence	responseNumber	correctBehav	TrialRT	Block	ValenceBlock	Valence	computerName	timeStamp	
102	Ghent	Glimlach	bob1.bmp	Bob	redde een kind van een aansnellende auto	pos	c	False	4.630699	1	2	pos	user-1f3225316f	2018-10-16_10.30.11.218000
102	Ghent	Bloem	bob1.bmp	Bob	sloeg ruiten in van een openbaar gebouw tijdens een demonstratie tegen een nieuw rusthuis	neg	u	False	9.089922	1	2	neg	user-1f3225316f	2018-10-16_10.30.11.218000
102	Ghent	Bloem	bob1.bmp	Bob	reed een hond aan op straat en reed door zonder de eigenaar te verwittigen	neg	c	Correct	5.337366	1	2	neg	user-1f3225316f	2018-10-16_10.30.11.218000
102	Ghent	Geschenk	bob1.bmp	Bob	kleineert personen die hij kent die tot een minderheidsgroep behoren	neg	c	Correct	7.663495	1	2	neg	user-1f3225316f	2018-10-16_10.30.11.218000
102	Ghent	Katje	bob1.bmp	Bob	vergeet niet om de vogels elke dag eten te geven	pos	u	Correct	5.107783	1	2	pos	user-1f3225316f	2018-10-16_10.30.11.218000
102	Ghent	Feest	bob1.bmp	Bob	daagde niet op als belangrijke getuige in een drugszaak waar een vriend bij betrokken was	neg	c	Correct	7.548565	1	2	neg	user-1f3225316f	2018-10-16_10.30.11.218000
102	Ghent	Mooi	bob1.bmp	Bob	gebruikte voedingsbonnen die bedoeld waren voor iemand anders	neg	c	Correct	5.643422	1	2	neg	user-1f3225316f	2018-10-16_10.30.11.218000
102	Ghent	Blij	bob1.bmp	Bob	hielp een rolstoelpatiënt een helling op te geraken	pos	u	Correct	4.097739	1	2	pos	user-1f3225316f	2018-10-16_10.30.11.218000
102	Ghent	Bloem	bob1.bmp	Bob	leerde een kind van de buren om met de fiets te rijden	pos	u	Correct	3.919496	1	2	pos	user-1f3225316f	2018-10-16_10.30.11.218000
102	Ghent	Puppy	bob1.bmp	Bob	gaf onderdak aan een gezin dat zijn huis had verloren in een brand	pos	u	Correct	5.879831	1	2	pos	user-1f3225316f	2018-10-16_10.30.11.218000
102	Ghent	Bloem	bob1.bmp	Bob	spendeerde zijn vrije dag door zijn moeder te helpen met karweitjes in huis	pos	u	Correct	4.939560	1	2	pos	user-1f3225316f	2018-10-16_10.30.11.218000
102	Ghent	Geschenk	bob1.bmp	Bob	was op alles gebuisd na het eerste semester aan de hoge school	neg	c	Correct	4.945556	1	2	neg	user-1f3225316f	2018-10-16_10.30.11.218000
102	Ghent	Vriend	bob1.bmp	Bob	kocht vliegtuigtickets voor zijn ouders op hun 25e verjaardag voor een reis naar Hawaii	pos	u	Correct	4.746213	1	2	pos	user-1f3225316f	2018-10-16_10.30.11.218000
102	Ghent	Puppy	bob1.bmp	Bob	speelde vals tijdens een poker spel	neg	c	Correct	2.466907	1	2	neg	user-1f3225316f	2018-10-16_10.30.11.218000
102	Ghent	Puppy	bob1.bmp	Bob	zat luidkeels rascistische opmerkingen te maken tegen zijn vriend in een pub	neg	c	Correct	5.514766	1	2	neg	user-1f3225316f	2018-10-16_10.30.11.218000
102	Ghent	Kus	bob1.bmp	Bob	weigerde te stoppen met roken op een drukke bus, ook al werd het hem door verschillende mensen gevraagd	neg	c	Correct	6.552975	1	2	neg	user-1f3225316f	2018-10-16_10.30.11.218000
102	Ghent	Feest	bob1.bmp	Bob	liet een kookplaat aanstaan toen hij zijn huis verliet	neg	c	Correct	4.255536	1	2	neg	user-1f3225316f	2018-10-16_10.30.11.218000
102	Ghent	Vriend	bob1.bmp	Bob	hielp zijn vrouw om de afwas te doen na een groot avondfeest	pos	u	Correct	4.474716	1	2	pos	user-1f3225316f	2018-10-16_10.30.11.218000
102	Ghent	Blij	bob1.bmp	Bob	leende geld aan een vriend in financiële moeilijkheden	pos	u	Correct	4.147255	1	2	pos	user-1f3225316f	2018-10-16_10.30.11.218000
102	Ghent	Geschenk	bob1.bmp	Bob	deed een deur van de buren dicht toen ze die per ongeluk hadden open gelaten	pos	u	Correct	4.587643	1	2	pos	user-1f3225316f	2018-10-16_10.30.11.218000
102	Ghent	Mooi	bob1.bmp	Bob	liet het brandalarm afgaan voor de grap	neg	c	Correct	3.542907	1	2	neg	user-1f3225316f	2018-10-16_10.30.11.218000
102	Ghent	Feest	bob1.bmp	Bob	hielp een werkloze buurman een nieuwe job te vinden	pos	u	Correct	2.881864	1	2	pos	user-1f3225316f	2018-10-16_10.30.11.218000
102	Ghent	Geschenk	bob1.bmp	Bob	werd aangehouden voor het aanranden van zijn vrouw	neg	c	Correct	3.991222	1	2	neg	user-1f3225316f	2018-10-16_10.30.11.218000
102	Ghent	Puppy	bob1.bmp	Bob	schreef brieven en stuurde leesmaterialen op naar veroordeelden in de gevangenis	pos	u	Correct	8.450236	1	2	pos	user-1f3225316f	2018-10-16_10.30.11.218000
102	Ghent	Geschenk	bob1.bmp	Bob	koos om minder vettig te eten en verloor 9 kilo.	pos	u	Correct	4.052094	1	2	pos	user-1f3225316f	2018-10-16_10.30.11.218000
102	Ghent	Puppy	bob1.bmp	Bob	liet mensen te veel betalen voor benzine in een tankstation	neg	c	Correct	5.431167	1	2	neg	user-1f3225316f	2018-10-16_10.30.11.218000
102	Ghent	Geschenk	bob1.bmp	Bob	was vrijwilliger bij een dagverblijf	pos	u	Correct	4.013322	1	2	pos	user-1f3225316f	2018-10-16_10.30.11.218000
102	Ghent	Blij	bob1.bmp	Bob	hielp zijn vrouw een groententuin aan te planten in de achtertuin	pos	u	Correct	3.832425	1	2	pos	user-1f3225316f	2018-10-16_10.30.11.218000
102	Ghent	Vriend	bob1.bmp	Bob	liet het na om bij de politie aan te geven dat een buurman zijn vrouw sloeg	neg	u	False	8.259352	1	2	neg	user-1f3225316f	2018-10-16_10.30.11.218000
102	Ghent	Bloem	bob1.bmp	Bob	belde naar werk en vertelde dat hij ziek was hoewel dit niet het geval was	neg	c	Correct	7.221165	1	2	neg	user-1f3225316f	2018-10-16_10.30.11.218000
102	Ghent	Glimlach	bob1.bmp	Bob	liep het restaurant uit zonder te betalen	neg	c	Correct	2.513336	1	2	neg	user-1f3225316f	2018-10-16_10.30.11.218000
102	Ghent	Feest	bob1.bmp	Bob	heeft twee jaar gewerkt in een achterbuurt in een strip club	neg	c	Correct	5.025221	1	2	neg	user-1f3225316f	2018-10-16_10.30.11.218000
102	Ghent	Blij	bob1.bmp	Bob	lacht een lesbisch koppel uit op straat	neg	c	Correct	3.668656	1	2	neg	user-1f3225316f	2018-10-16_10.30.11.218000
102	Ghent	Glimlach	bob1.bmp	Bob	ontvreemde benzine uit een geparkeerde wagen	neg	c	Correct	3.527546	1	2	neg	user-1f3225316f	2018-10-16_10.30.11.218000
102	Ghent	Bloem	bob1.bmp	Bob	stopte onderweg van zijn werk naar huis om brood te kopen voor het avondeten	pos	c	False	6.517092	1	2	pos	user-1f3225316f	2018-10-16_10.30.11.218000
102	Ghent	Katje	bob1.bmp	Bob	reed met zijn auto in de bebouwde kom aan 90 km/u om zijn vriendin te imponeren	neg	c	Correct	6.344995	1	2	neg	user-1f3225316f	2018-10-16_10.30.11.218000
102	Ghent	Glimlach	bob1.bmp	Bob	werkte twee jaar als vrijwilliger in de sloppenwijken van Chicago als medische hulpdienst	pos	u	Correct	4.844849	1	2	pos	user-1f3225316f	2018-10-16_10.30.11.218000
102	Ghent	Feest	bob1.bmp	Bob	typte een manuscript uit voor een vriend	pos	u	Correct	3.709478	1	2	pos	user-1f3225316f	2018-10-16_10.30.11.218000
102	Ghent	Glimlach	bob1.bmp	Bob	hielp een vriend bij het herschilderen van zijn appartement	pos	u	Correct	4.075143	1	2	pos	user-1f3225316f	2018-10-16_10.30.11.218000
102	Ghent	Mooi	bob1.bmp	Bob	liet iemand anders het eindexamen wiskunde voor hem afleggen	neg	c	Correct	4.003578	1	2	neg	user-1f3225316f	2018-10-16_10.30.11.218000
102	Ghent	Bloem	bob1.bmp	Bob	stond op de hoek van een straat en beledigde de mensen die voorbij liepen	neg	c	Correct	3.697320	1	2	neg	user-1f3225316f	2018-10-16_10.30.11.218000
102	Ghent	Bloem	bob1.bmp	Bob	liet kleine kinderen spelen in zijn fruitgaard omdat er geen park dichtbij was	pos	u	Correct	4.945582	1	2	pos	user-1f3225316f	2018-10-16_10.30.11.218000
