ParticipantNumber	Location	prime	BobImage	bobName	behavior	Valence	responseNumber	correctBehav	TrialRT	Block	ValenceBlock	Valence	computerName	timeStamp	
236	Ghent	Vriend	white5.bmp	Bob	betaalde iemand om zijn vrouw te laten schaduwen	neg	c	Correct	1.898693	1	2	neg	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Vriend	white5.bmp	Bob	werd dronken en duwde een zevenjarig meisje	neg	c	Correct	1.941477	1	2	neg	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Bloem	white5.bmp	Bob	stal een parkeerplaats door er langs achteren in te rijden terwijl iemand anders er al in aan het rijden was	neg	u	False	1.890921	1	2	neg	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Vriend	white5.bmp	Bob	kocht boodschappen voor een oude buurvrouw die ziek was	pos	c	False	0.445789	1	2	pos	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Geschenk	white5.bmp	Bob	stal een duur paar loopschoenen uit andermans kastje	neg	c	Correct	0.968090	1	2	neg	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Puppy	white5.bmp	Bob	sloeg zijn kind omdat het melk had gemorst	neg	c	Correct	4.679859	1	2	neg	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Blij	white5.bmp	Bob	werkt 40 uur per week om ervoor te kunnen zorgen dat hij zijn opleiding kan afmaken	pos	c	False	0.915665	1	2	pos	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Mooi	white5.bmp	Bob	is een fervent lezer die vrijwillig helpt bij het leren lezen in een school	pos	u	Correct	1.294127	1	2	pos	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Glimlach	white5.bmp	Bob	liet een kookplaat aanstaan toen hij zijn huis verliet	neg	c	Correct	2.336696	1	2	neg	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Kus	white5.bmp	Bob	weigerde te stoppen met roken op een drukke bus, ook al werd het hem door verschillende mensen gevraagd	neg	u	False	2.472994	1	2	neg	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Glimlach	white5.bmp	Bob	reed elke dag met zijn fiets naar het werk om vervuiling en benzineverbruik tegen te gaan	pos	c	False	2.606696	1	2	pos	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Blij	white5.bmp	Bob	negeerde iemand die hulp nodig had op de ski-piste door heel snel voorbij te skiën	neg	c	Correct	3.071031	1	2	neg	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Blij	white5.bmp	Bob	gaf een vriend een nieuwe slaapzak en tent te leen om te kunnen gaan kamperen	pos	c	False	4.042199	1	2	pos	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Katje	white5.bmp	Bob	liet het brandalarm afgaan voor de grap	neg	c	Correct	4.880364	1	2	neg	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Vriend	white5.bmp	Bob	schreeuwt constant naar zijn vrouw in het openbaar	neg	c	Correct	5.262826	1	2	neg	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Blij	white5.bmp	Bob	beschadigde een grote rots met grafitti in een openbaar park	neg	c	Correct	4.781369	1	2	neg	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Feest	white5.bmp	Bob	liet iemand anders het eindexamen wiskunde voor hem afleggen	neg	c	Correct	1.899786	1	2	neg	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Kus	white5.bmp	Bob	negeerde een vrouw die hulp vroeg om haar kinderwagen over de stoeprand te krijgen	neg	c	Correct	3.563942	1	2	neg	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Bloem	white5.bmp	Bob	weigerde om zijn kind te helpen met het herstellen van zijn fietsje	neg	c	Correct	5.399208	1	2	neg	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Puppy	white5.bmp	Bob	reed over de fiets van een kind met zijn auto	neg	c	Correct	0.701926	1	2	neg	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Bloem	white5.bmp	Bob	zat luidkeels rascistische opmerkingen te maken tegen zijn vriend in een pub	neg	c	Correct	0.653686	1	2	neg	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Bloem	white5.bmp	Bob	stopte om een automobilist te helpen wiens auto was stilgevallen tijdens een sneeuwstorm	pos	u	Correct	0.354762	1	2	pos	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Puppy	white5.bmp	Bob	vroeg wisselgeld aan een koppel hoewel hij zelf geld had	neg	c	Correct	1.642360	1	2	neg	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Glimlach	white5.bmp	Bob	liet mensen te veel betalen voor benzine in een tankstation	neg	u	False	0.530405	1	2	neg	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Glimlach	white5.bmp	Bob	ging in tegen een discriminerende wet die huren moeilijker maakte voor minderheidsgroepen	pos	c	False	0.242125	1	2	pos	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Blij	white5.bmp	Bob	repareerde een piepende schommelstoel voor zijn vriend	pos	u	Correct	0.479054	1	2	pos	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Feest	white5.bmp	Bob	maakt het stil wanneer de kinderen slapen	pos	u	Correct	0.828030	1	2	pos	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Glimlach	white5.bmp	Bob	hielp naburige kampeerders hun tent op te zetten	pos	c	False	1.262470	1	2	pos	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Glimlach	white5.bmp	Bob	negeerde een ongeval waarbij er iemand uit een auto gekatapulteerd werd en de dader gewoon doorreed	neg	c	Correct	1.217074	1	2	neg	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Puppy	white5.bmp	Bob	stal de handtas van een ouder dametje op de bus	neg	c	Correct	1.376980	1	2	neg	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Glimlach	white5.bmp	Bob	liet iemand anders voor hem zijn eindwerk schrijven	neg	c	Correct	1.744966	1	2	neg	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Bloem	white5.bmp	Bob	hielp zijn vader bij de zorg voor zijn jongere zussen en broers terwijl zijn moeder in het ziekenhuis lag	pos	u	Correct	1.299728	1	2	pos	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Geschenk	white5.bmp	Bob	plantte tomaten en komkommers in een kleine tuin achter zijn huis	pos	c	False	1.896988	1	2	pos	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Blij	white5.bmp	Bob	hielp een jong kind het alfabet te leren	pos	u	Correct	10.368965	1	2	pos	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Geschenk	white5.bmp	Bob	helpt zijn buren met werk in de tuin	pos	u	Correct	3.163936	1	2	pos	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Feest	white5.bmp	Bob	maakte een verre vliegreis om zijn vriend te bezoeken die zich slecht voelde	pos	u	Correct	1.769856	1	2	pos	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Mooi	white5.bmp	Bob	rapporteerde aan de ski-autoriteiten toen een vriend niet op tijd was teruggekeerd van een ski tocht	pos	u	Correct	3.281941	1	2	pos	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Vriend	white5.bmp	Bob	was vrijwilliger bij een dagverblijf	pos	u	Correct	2.047871	1	2	pos	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Geschenk	white5.bmp	Bob	hielp zijn vriend om zijn huis op te knappen zodat die een beter huis voor zijn gezin kon betalen	pos	u	Correct	4.192050	1	2	pos	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Kus	white5.bmp	Bob	kookt een lekker etentje voor zijn vrienden	pos	c	False	1.478316	1	2	pos	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Glimlach	white5.bmp	Bob	koos om minder vettig te eten en verloor 9 kilo.	pos	u	Correct	3.259612	1	2	pos	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Mooi	white5.bmp	Bob	vond een dure boekentas op straat en plaatste een advertentie in de krant om de eigenaar te vinden	pos	u	Correct	2.478891	1	2	pos	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Geschenk	white5.bmp	Bob	kleineert personen die hij kent die tot een minderheidsgroep behoren	neg	c	Correct	1.263270	1	2	neg	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Vriend	white5.bmp	Bob	reed met zijn auto in de bebouwde kom aan 90 km/u om zijn vriendin te imponeren	neg	c	Correct	2.143115	1	2	neg	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Puppy	white5.bmp	Bob	vergeet niet om de vogels elke dag eten te geven	pos	u	Correct	2.154011	1	2	pos	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Puppy	white5.bmp	Bob	liet kleine kinderen spelen in zijn fruitgaard omdat er geen park dichtbij was	pos	u	Correct	5.900832	1	2	pos	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Mooi	white5.bmp	Bob	was getuige van een auto ongeval maar deed geen melding	neg	u	False	2.075729	1	2	neg	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Geschenk	white5.bmp	Bob	werd gearresteerd voor het verspreiden van € 500 in vals geld	neg	c	Correct	2.129210	1	2	neg	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Kus	white5.bmp	Bob	overviel een nachtwinkel	neg	c	Correct	1.606751	1	2	neg	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Feest	white5.bmp	Bob	organiseerde een verrassingsfeestje voor zijn vaders verjaardag	pos	u	Correct	2.761461	1	2	pos	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Geschenk	white5.bmp	Bob	zegt altijd goedemorgen met een brede glimlach op zijn gezicht	pos	u	Correct	2.673883	1	2	pos	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Mooi	white5.bmp	Bob	liep het restaurant uit zonder te betalen	neg	c	Correct	2.487566	1	2	neg	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Geschenk	white5.bmp	Bob	kocht een oude gitaar en repareerde het voor zijn neefje	pos	u	Correct	6.762521	1	2	pos	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Puppy	white5.bmp	Bob	brak de gitaar van zijn vriend omdat hij boos was	neg	c	Correct	2.116310	1	2	neg	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Feest	white5.bmp	Bob	doofde zijn sigaret in een openbaar gebouw na het zien van een niet roken bord	pos	u	Correct	4.255145	1	2	pos	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Kus	white5.bmp	Bob	reed tegen een geparkeerde auto onder invloed van alcohol	neg	c	Correct	1.874720	1	2	neg	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Bloem	white5.bmp	Bob	overtuigde zijn baas om een medewerker te ontslaan omdat die te laat op het werk aankwam	neg	c	Correct	5.901495	1	2	neg	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Katje	white5.bmp	Bob	was op alles gebuisd na het eerste semester aan de hoge school	neg	c	Correct	3.420302	1	2	neg	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Kus	white5.bmp	Bob	vermeed andere mensen zodat ze geen griep van hem konden overkrijgen	pos	u	Correct	6.442247	1	2	pos	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Mooi	white5.bmp	Bob	leende enkele platen van een kennis en gaf ze nooit terug	neg	u	False	5.878533	1	2	neg	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Mooi	white5.bmp	Bob	leverde iemand anders schoolproject in onder zijn eigen naam	neg	c	Correct	1.344051	1	2	neg	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Vriend	white5.bmp	Bob	liet een oudere persoon voorgaan in de betaalrij bij de winkel	pos	u	Correct	1.453309	1	2	pos	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Bloem	white5.bmp	Bob	trakteert al zijn vrienden een drankje op café	pos	u	Correct	4.413270	1	2	pos	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Kus	white5.bmp	Bob	kocht een ballon op de kermis voor een kind van de buren	pos	u	Correct	2.016955	1	2	pos	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Kus	white5.bmp	Bob	hielp een buitenlandse student om een verblijfplaats te vinden	pos	u	Correct	1.667716	1	2	pos	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Feest	white5.bmp	Bob	rookte met opzet hoewel hij in een "niet roken" gedeelde van een toneelzaal was	neg	c	Correct	1.987812	1	2	neg	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Bloem	white5.bmp	Bob	nam jonge vogels in huis die uit een nest waren gevallen en verzorgde ze tot ze groot waren	pos	u	Correct	3.942614	1	2	pos	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Katje	white5.bmp	Bob	doneerde bloed aan het rode kruis	pos	c	False	1.463509	1	2	pos	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Puppy	white5.bmp	Bob	hielp een vriend om te leren zwemmen	pos	u	Correct	4.231376	1	2	pos	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Feest	white5.bmp	Bob	gooide een stoel door een raam op een bierfeestje	neg	u	False	2.629648	1	2	neg	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Katje	white5.bmp	Bob	﻿reed verstrooid door een rood licht aan een kruispunt en ramde de zijkant van een andere wagen	neg	c	Correct	1.240708	1	2	neg	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Katje	white5.bmp	Bob	hielp bij het leggen van een nieuw dak op het huis van zijn buren	pos	u	Correct	2.624632	1	2	pos	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Blij	white5.bmp	Bob	sloeg ruiten in van een openbaar gebouw tijdens een demonstratie tegen een nieuw rusthuis	neg	c	Correct	1.168990	1	2	neg	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Vriend	white5.bmp	Bob	hielp een vriend bij het herhalen van leerstof voor een toets	pos	u	Correct	6.651516	1	2	pos	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Katje	white5.bmp	Bob	zette huurders uit hun huis die een maand te laat waren in het betalen van hun huur	neg	c	Correct	3.938557	1	2	neg	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Blij	white5.bmp	Bob	daagde niet op als belangrijke getuige in een drugszaak waar een vriend bij betrokken was	neg	c	Correct	3.819353	1	2	neg	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Katje	white5.bmp	Bob	geeft richtingaanwijzingen aan verdwaalde reizigers	pos	u	Correct	5.446774	1	2	pos	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Geschenk	white5.bmp	Bob	werd aangehouden voor het aanranden van zijn vrouw	neg	c	Correct	6.328066	1	2	neg	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Glimlach	white5.bmp	Bob	leende geld aan een vriend in financiële moeilijkheden	pos	u	Correct	6.332321	1	2	pos	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Katje	white5.bmp	Bob	bekommerde zich om de huisdieren van de buren toen die weg waren	pos	u	Correct	2.192617	1	2	pos	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Puppy	white5.bmp	Bob	gaf onderdak aan een gezin dat zijn huis had verloren in een brand	pos	u	Correct	4.664809	1	2	pos	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Geschenk	white5.bmp	Bob	schopte zijn hond omdat deze een stukje kaas van de tafelrand weghapte	neg	c	Correct	7.217841	1	2	neg	user-1f3225316f	2018-02-15_08.54.54.500000
236	Ghent	Kus	white5.bmp	Bob	hielp mee met een activiteiten programma voor gehandicapte kinderen	pos	u	Correct	6.649042	1	2	pos	user-1f3225316f	2018-02-15_08.54.54.500000
