ParticipantNumber	Location	prime	BobImage	bobName	behavior	Valence	responseNumber	correctBehav	TrialRT	Block	ValenceBlock	Valence	computerName	timeStamp	
710	Yale	Trash	white1.bmp	Bob	walked out of a restaurant without paying the bill	neg	u	Correct	10.369078	1	1	neg	EXP-OTM	2024-10-03_09.58.25.543000
710	Yale	Hurt	white1.bmp	Bob	stopped off on his way home from work to buy a loaf of bread for dinner	pos	c	Correct	9.255615	1	1	pos	EXP-OTM	2024-10-03_09.58.25.543000
710	Yale	Death	white1.bmp	Bob	saves cans and bottles for recycling	pos	c	Correct	4.703968	1	1	pos	EXP-OTM	2024-10-03_09.58.25.543000
710	Yale	Corpse	white1.bmp	Bob	wrote letters and sent reading materials to convicts at the Oregon Penitentiary	pos	c	Correct	6.986148	1	1	pos	EXP-OTM	2024-10-03_09.58.25.543000
710	Yale	Stink	white1.bmp	Bob	slapped his child for spilling a glass of milk	neg	u	Correct	4.168681	1	1	neg	EXP-OTM	2024-10-03_09.58.25.543000
710	Yale	Death	white1.bmp	Bob	read section from Alice in Wonderland to his children before they went to bed	pos	c	Correct	14.630755	1	1	pos	EXP-OTM	2024-10-03_09.58.25.543000
710	Yale	Corpse	white1.bmp	Bob	does not forget to feed the birds every morning	pos	c	Correct	4.947556	1	1	pos	EXP-OTM	2024-10-03_09.58.25.543000
710	Yale	Ugly	white1.bmp	Bob	knocked a grocery bag from a woman’s arms as he ran down the street	neg	u	Correct	8.197682	1	1	neg	EXP-OTM	2024-10-03_09.58.25.543000
710	Yale	War	white1.bmp	Bob	called the SPCA on coming across a hurt animal	pos	c	Correct	9.826003	1	1	pos	EXP-OTM	2024-10-03_09.58.25.543000
710	Yale	Spider	white1.bmp	Bob	spends a great deal of his time voluntarily tutoring disadvantaged students in areas of mathematics and English	pos	c	Correct	4.816607	1	1	pos	EXP-OTM	2024-10-03_09.58.25.543000
710	Yale	Hurt	white1.bmp	Bob	administered first aid to a hit-and-run victim while waiting for an ambulance to arrive	pos	c	Correct	4.146932	1	1	pos	EXP-OTM	2024-10-03_09.58.25.543000
710	Yale	Ugly	white1.bmp	Bob	gave his seat on the bus to an older person	pos	c	Correct	1.689135	1	1	pos	EXP-OTM	2024-10-03_09.58.25.543000
710	Yale	Pain	white1.bmp	Bob	helped put a new roof on his neighbor’s house	pos	c	Correct	2.665351	1	1	pos	EXP-OTM	2024-10-03_09.58.25.543000
710	Yale	Spider	white1.bmp	Bob	offered to share an umbrella with a stranger during a downpour	pos	c	Correct	11.621442	1	1	pos	EXP-OTM	2024-10-03_09.58.25.543000
710	Yale	Trash	white1.bmp	Bob	built a bookcase for his new apartment	pos	c	Correct	1.756130	1	1	pos	EXP-OTM	2024-10-03_09.58.25.543000
710	Yale	Trash	white1.bmp	Bob	brought marijuana across the state line to sell to middle school students	neg	u	Correct	2.088214	1	1	neg	EXP-OTM	2024-10-03_09.58.25.543000
710	Yale	Ugly	white1.bmp	Bob	insulted a man who asked for directions to the nearest post office	neg	u	Correct	3.168509	1	1	neg	EXP-OTM	2024-10-03_09.58.25.543000
710	Yale	Pain	white1.bmp	Bob	flunked out of college after one term	neg	u	Correct	1.978825	1	1	neg	EXP-OTM	2024-10-03_09.58.25.543000
710	Yale	Ugly	white1.bmp	Bob	yelled at a waitress for being too slow	neg	u	Correct	1.625023	1	1	neg	EXP-OTM	2024-10-03_09.58.25.543000
710	Yale	War	white1.bmp	Bob	defaced a large rock with spray paint in a public park	neg	u	Correct	10.133034	1	1	neg	EXP-OTM	2024-10-03_09.58.25.543000
710	Yale	Death	white1.bmp	Bob	became very angry and threatened two children who were collecting insects near his home	neg	u	Correct	13.937453	1	1	neg	EXP-OTM	2024-10-03_09.58.25.543000
710	Yale	Hell	white1.bmp	Bob	became a volunteer basketball coach for a children’s home	pos	c	Correct	1.560124	1	1	pos	EXP-OTM	2024-10-03_09.58.25.543000
710	Yale	War	white1.bmp	Bob	evicted renters who were one month late in paying their rent	neg	u	Correct	8.344272	1	1	neg	EXP-OTM	2024-10-03_09.58.25.543000
710	Yale	Ugly	white1.bmp	Bob	donated 200 dollars to the local high school	pos	c	Correct	2.326684	1	1	pos	EXP-OTM	2024-10-03_09.58.25.543000
710	Yale	Stink	white1.bmp	Bob	pretended he did not hear a woman’s request for his help in lifting a baby carriage over a high curb	neg	u	Correct	4.520844	1	1	neg	EXP-OTM	2024-10-03_09.58.25.543000
710	Yale	Spider	white1.bmp	Bob	tries to give someone a ride whenever he is driving a long distance	pos	c	Correct	4.033209	1	1	pos	EXP-OTM	2024-10-03_09.58.25.543000
710	Yale	Hurt	white1.bmp	Bob	sold a pick-up with a cracked engine to an unsuspecting couple for $400	neg	u	Correct	10.081260	1	1	neg	EXP-OTM	2024-10-03_09.58.25.543000
710	Yale	Hurt	white1.bmp	Bob	scared a woman who was walking down a dark street alone	neg	c	False	6.001978	1	1	neg	EXP-OTM	2024-10-03_09.58.25.543000
710	Yale	Corpse	white1.bmp	Bob	continually yells at his wife in public	neg	u	Correct	2.772230	1	1	neg	EXP-OTM	2024-10-03_09.58.25.543000
710	Yale	Stink	white1.bmp	Bob	fixed a squeaking rocking chair for his friend in the country	pos	c	Correct	10.714294	1	1	pos	EXP-OTM	2024-10-03_09.58.25.543000
710	Yale	Stink	white1.bmp	Bob	gives flowers to his mother	pos	c	Correct	4.208748	1	1	pos	EXP-OTM	2024-10-03_09.58.25.543000
710	Yale	Stink	white1.bmp	Bob	played his transistor radio full blast late at night in a campground	neg	c	False	2.503260	1	1	neg	EXP-OTM	2024-10-03_09.58.25.543000
710	Yale	War	white1.bmp	Bob	loudly made racist statements to his friends while in a tavern	neg	u	Correct	1.451349	1	1	neg	EXP-OTM	2024-10-03_09.58.25.543000
710	Yale	Hurt	white1.bmp	Bob	adopted small children and raised them as if they were his own	pos	c	Correct	3.825647	1	1	pos	EXP-OTM	2024-10-03_09.58.25.543000
710	Yale	Pain	white1.bmp	Bob	flew from Dayton to Los Angeles to visit a friend who was blue	pos	c	Correct	2.301735	1	1	pos	EXP-OTM	2024-10-03_09.58.25.543000
710	Yale	Pain	white1.bmp	Bob	helps his neighbors with yardwork	pos	c	Correct	2.061993	1	1	pos	EXP-OTM	2024-10-03_09.58.25.543000
710	Yale	Hell	white1.bmp	Bob	avoided other people in order not to give his cold to them	pos	c	Correct	3.522168	1	1	pos	EXP-OTM	2024-10-03_09.58.25.543000
710	Yale	Stink	white1.bmp	Bob	let an older person get in front of him in a grocery checkout line	pos	c	Correct	3.272449	1	1	pos	EXP-OTM	2024-10-03_09.58.25.543000
710	Yale	Hell	white1.bmp	Bob	failed to report to the police that a neighbor beat his wife	neg	u	Correct	6.306783	1	1	neg	EXP-OTM	2024-10-03_09.58.25.543000
710	Yale	Pain	white1.bmp	Bob	gives the best gifts on Christmas	pos	c	Correct	1.683112	1	1	pos	EXP-OTM	2024-10-03_09.58.25.543000
710	Yale	War	white1.bmp	Bob	was fined $500 for littering at a National Park	neg	u	Correct	1.829284	1	1	neg	EXP-OTM	2024-10-03_09.58.25.543000
710	Yale	Corpse	white1.bmp	Bob	ran over a child's bike with his car	neg	u	Correct	2.875596	1	1	neg	EXP-OTM	2024-10-03_09.58.25.543000
710	Yale	Spider	white1.bmp	Bob	spent his day off helping his mother around the house	pos	c	Correct	3.511703	1	1	pos	EXP-OTM	2024-10-03_09.58.25.543000
710	Yale	Corpse	white1.bmp	Bob	witnessed a car accident, but didn’t report it	neg	u	Correct	1.964043	1	1	neg	EXP-OTM	2024-10-03_09.58.25.543000
710	Yale	Corpse	white1.bmp	Bob	helped a friend review for a test	pos	c	Correct	1.912203	1	1	pos	EXP-OTM	2024-10-03_09.58.25.543000
710	Yale	Trash	white1.bmp	Bob	turned in a work assignment on time	pos	c	Correct	3.294321	1	1	pos	EXP-OTM	2024-10-03_09.58.25.543000
710	Yale	Ugly	white1.bmp	Bob	spent several hours a week counseling delinquents	pos	c	Correct	3.070784	1	1	pos	EXP-OTM	2024-10-03_09.58.25.543000
710	Yale	Corpse	white1.bmp	Bob	had a surprise party for his father's birthday	pos	c	Correct	1.379048	1	1	pos	EXP-OTM	2024-10-03_09.58.25.543000
710	Yale	Death	white1.bmp	Bob	asked for spare change from a couple even though he had money	neg	u	Correct	2.911062	1	1	neg	EXP-OTM	2024-10-03_09.58.25.543000
710	Yale	Death	white1.bmp	Bob	got drunk and insulted everybody at a cocktail party	neg	u	Correct	2.299287	1	1	neg	EXP-OTM	2024-10-03_09.58.25.543000
710	Yale	Stink	white1.bmp	Bob	tricked a housewife into paying money for a subscription to a magazine that did not exist	neg	u	Correct	3.795601	1	1	neg	EXP-OTM	2024-10-03_09.58.25.543000
